Name,Name,List name,Edition,Edition code,Collector's number,Price,Price (total),Foil,QuantityX,Tag,Language,Condition,Rarity,Card Type,CMC,Mana Value,Color,Card Rulings,MultiverseID,Card Text,Power,Toughness,Loyalty,Currency,Scryfall ID,TCGPlayer productID,TCGPlayer Sku,Is Commander?,Artists,Edition code MTGO
"Ancient Bronze Dragon","Ancient Bronze Dragon","Commander Legends 2","Commander Legends: Battle for Baldur's Gate","CLB","214","$9.00","$9.00","","1x","","","","M","Creature — Elder Dragon","7","{5}{G}{G}","Green","""""","563097","""Flying
Whenever Ancient Bronze Dragon deals combat damage to a player, roll a d20. When you do, put X +1/+1 counters on each of up to two target creatures, where X is the result.""","7","7","0","USD","781af4dd-9e3c-48af-80e9-b52c427d2120","273301","5632944","","Johan Grenier","clb"
"Ancient Bronze Dragon","Ancient Bronze Dragon","Commander Legends 2","Commander Legends: Battle for Baldur's Gate","CLB","214","$9.05","$9.05","Foil","1x","","","","M","Creature — Elder Dragon","7","{5}{G}{G}","Green","""""","563097","""Flying
Whenever Ancient Bronze Dragon deals combat damage to a player, roll a d20. When you do, put X +1/+1 counters on each of up to two target creatures, where X is the result.""","7","7","0","USD","781af4dd-9e3c-48af-80e9-b52c427d2120","273301","5632949","","Johan Grenier","clb"
"Ancient Copper Dragon","Ancient Copper Dragon","Commander Legends 2","Commander Legends: Battle for Baldur's Gate","CLB","161","$55.29","$55.29","","1x","","","","M","Creature — Elder Dragon","6","{4}{R}{R}","Red","""""","563044","""Flying
Whenever Ancient Copper Dragon deals combat damage to a player, roll a d20. You create a number of Treasure tokens equal to the result.""","6","5","0","USD","3836dddd-a7e4-499f-ad49-ce298aa65720","273001","5623797","","Antonio José Manzanedo","clb"
"Font of Magic","Font of Magic","Commander Legends 2","Commander Legends: Battle for Baldur's Gate","CLB","71","$0.60","$0.60","","1x","","","","M","Enchantment","4","{3}{U}","Blue","""• This includes Backgrounds that are your commander.""","562954","""Instant and sorcery spells you cast cost {1} less to cast for each time you've cast a commander from the command zone this game.""","0","0","0","USD","137ee879-bbc3-4e11-b103-3cc604867b1c","272909","5617751","","Francis Tneh","clb"
"Majestic Genesis","Majestic Genesis","Commander Legends 2","Commander Legends: Battle for Baldur's Gate","CLB","240","$2.02","$2.02","","1x","","","","M","Sorcery","8","{6}{G}{G}","Green","""• If your commander is under the control of another player as Majestic Genesis resolves, it is still on the battlefield and will still be used to determine the value of X.""","563123","""Reveal the top X cards of your library, where X is the greatest mana value of a commander you own on the battlefield or in the command zone. You may put any number of permanent cards from among them onto the battlefield. Put the rest on the bottom of your library in a random order.""","0","0","0","USD","eaadb067-4a77-4d6e-931d-447bd0c06594","272735","5610643","","Alayna Danner","clb"
"Minsc & Boo, Timeless Heroes","Minsc & Boo, Timeless Heroes","Commander Legends 2","Commander Legends: Battle for Baldur's Gate","CLB","285","$8.86","$8.86","","1x","","","","M","Legendary Planeswalker — Minsc","4","{2}{R}{G}","Red/Green","""• If there is no legal target for the reflexive trigger in Minsc & Boo's second loyalty ability, or if the target is illegal as the ability tries to resolve, you will not draw any cards even if the sacrificed creature was a Hamster.
• Minsc & Boo's second loyalty ability won't deal extra damage if you shout “Go for the eyes, Boo!” but it definitely can't hurt.""","563168","""When Minsc & Boo, Timeless Heroes enters the battlefield and at the beginning of your upkeep, you may create Boo, a legendary 1/1 red Hamster creature token with trample and haste.
+1: Put three +1/+1 counters on up to one target creature with trample or haste.
−2: Sacrifice a creature. When you do, Minsc & Boo, Timeless Heroes deals X damage to any target, where X is that creature's power. If the sacrificed creature was a Hamster, draw X cards.
Minsc & Boo, Timeless Heroes can be your commander.""","0","0","3","USD","928036c9-11b8-493e-b9f2-8fbd3487cd19","267049","5476504","","Andreas Zafiratos","clb"
"Pact Weapon","Pact Weapon","Commander Legends 2","Commander Legends: Battle for Baldur's Gate","CLB","139","$0.85","$0.85","","1x","","","","M","Artifact — Equipment","4","{3}{B}","Black","""• If an opponent gains control of the creature that Pact Weapon is attached to but doesn't also gain control of Pact Weapon, you still control Pact Weapon and still don't lose the game for having 0 or less life as long as it is attached.
• Similarly, if an opponent gains control of the equipped creature without gaining control of Pact Weapon and attacks with it, you will draw a card, reveal it, and lose life.
• If the card draw is replaced with another effect, the equipped creature won't get any bonus to its power and toughness and you won't lose any life. This is true even if the card draw is replaced by one or more card draws.""","563022","""As long as Pact Weapon is attached to a creature, you don't lose the game for having 0 or less life.
Whenever equipped creature attacks, draw a card and reveal it. The creature gets +X/+X until end of turn and you lose X life, where X is that card's mana value.
Equip—Discard a card.""","0","0","0","USD","20b0cf66-c6ec-4ff6-96a5-334e2c9c7818","273022","5625272","","Volkan Baǵa","clb"
"Alaundo the Seer","Alaundo the Seer","Commander Legends 2","Commander Legends: Battle for Baldur's Gate","CLB","264","$0.26","$0.26","","1x","","","","R","Legendary Creature — Human Shaman","4","{2}{G}{U}","Blue/Green","""• Alaundo's ability is not the same as the suspend ability. However, if you exile a card with suspend this way, the suspend ability will also cause you to remove time counters from it.
• Alaundo's ability will remove time counters from all cards you own in exile, even ones that were put there another way, such as with the suspend ability.
• If you exile a card with a mana value of 0, such as a land card, no time counters will be placed on it. Unless you find a way to put time counters on it in exile, the triggered ability it gains from Alaundo will never trigger.""","563147","""{T}: Draw a card, then exile a card from your hand and put a number of time counters on it equal to its mana value. It gains ""When the last time counter is removed from this card, if it's exiled, you may cast it without paying its mana cost. If you cast a creature spell this way, it gains haste until end of turn."" Then remove a time counter from each other card you own in exile.""","3","5","0","USD","b22c33bb-47fe-4334-9105-00f4b87811bd","272744","5611543","","Aurore Folny","clb"
"Archivist of Oghma","Archivist of Oghma","Commander Legends 2","Commander Legends: Battle for Baldur's Gate","CLB","4","$7.50","$7.50","","1x","","","","R","Creature — Halfling Cleric","2","{1}{W}","White","""• Archivist of Oghma's triggered ability won't be put onto the stack until after the spell or ability causing the opponent to search their library finishes resolving. Notably, if that spell or ability causes any other abilities to trigger (for example, if the opponent searched for a card and put it onto the battlefield), those abilities and Archivist of Oghma's triggered ability will go on the stack at the same time. The active player puts all their abilities on the stack in any order, then each other player in turn order does the same. The last ability put onto the stack this way resolves first, and so on.
• Archivist of Oghma's triggered ability won't trigger if you search an opponent's library or an opponent searches another player's library.""","562887","""Flash
Whenever an opponent searches their library, you gain 1 life and draw a card.""","2","2","0","USD","f6589e02-8c84-4069-88d1-ebcc8520cae1","272914","5618191","","Stella Spente","clb"
"Ascend from Avernus","Ascend from Avernus","Commander Legends 2","Commander Legends: Battle for Baldur's Gate","CLB","5","$0.99","$0.99","","1x","","","","R","Sorcery","3","{X}{W}{W}{W}","White","""""","562888","""Return all creature and planeswalker cards with mana value X or less from your graveyard to the battlefield. Exile Ascend from Avernus.""","0","0","0","USD","6b26c05b-f166-40ab-9693-2129b4bf75e9","272915","5618291","","Bruce Brenneise","clb"
"Baba Lysaga, Night Witch","Baba Lysaga, Night Witch","Commander Legends 2","Commander Legends: Battle for Baldur's Gate","CLB","414","$0.30","$0.30","","1x","","","","R","Legendary Creature — Human Warlock","3","{1}{B}{G}","Black/Green","""• You may sacrifice permanents that aren't different card types to pay the cost of Baba Lysaga's activated ability, but if you do, it will have no effect.
• Check the types of those permanents as they last existed on the battlefield to see if there were three or more card types among the sacrificed permanents.""","570287","""{T}, Sacrifice up to three permanents: If there were three or more card types among the sacrificed permanents, each opponent loses 3 life, you gain 3 life, and you draw three cards.""","3","3","0","USD","89f293aa-dca1-48c2-9f48-069d32b89f3b","272630","5603829","","Mark A. Nelson","clb"
"Barroom Brawl","Barroom Brawl","Commander Legends 2","Commander Legends: Battle for Baldur's Gate","CLB","217","$0.30","$0.30","","1x","","","","R","Sorcery","2","{1}{G}","Green","""• Each copy of Barroom Brawl also includes the opportunity to create a copy, so as long as there are legal targets available and the copies keep successfully resolving, the brawl can continue.
• The opponent to your left may choose the creature they control that was part of the original fight as the first target for their copy, even if it would die after the original spell is done resolving. If it does die, however, it will be an illegal target as the copy tries to resolve.
• If one target is legal and the other is not legal as Barroom Brawl resolves, neither creature will deal damage. However, the opponent to your left may still choose to copy Barroom Brawl.
• If both targets are illegal as Barroom Brawl attempts to resolve, it does nothing. No copy will be created.
• In a two-player game, the other player is the opponent to your left.
• If the opponent to your left chooses to copy Barroom Brawl but not change its targets, both targets will probably be illegal as the copy tries to resolve (at a minimum, both targets would have to survive and switch controllers in response to still be legal targets for the copy), and the player to their left will not be able to copy it.""","563100","""Target creature you control fights target creature the opponent to your left controls. Then that player may copy this spell and may choose new targets for the copy.""","0","0","0","USD","0452a08e-1a04-432f-9c35-11699d7d44fe","273308","5633644","","Craig J Spearing","clb"
"Bhaal, Lord of Murder","Bhaal, Lord of Murder","Commander Legends 2","Commander Legends: Battle for Baldur's Gate","CLB","416","$0.30","$0.30","","1x","","","","R","Legendary Creature — God","5","{2}{B}{R}{G}","Black/Red/Green","""• If Bhaal, Lord of Murder is dealt lethal damage at the same time that its controller's life total is reduced to less than or equal to half their starting life total, Bhaal will have indestructible at the time state-based actions are performed and survive.""","570289","""As long as your life total is less than or equal to half your starting life total, Bhaal, Lord of Murder has indestructible.
Whenever another nontoken creature you control dies, put a +1/+1 counter on target creature and goad it.""","4","4","0","USD","2fef6465-987c-461b-8177-b6b7332bbe4e","272647","5605319","","Justine Jones","clb"
"Call to the Void","Call to the Void","Commander Legends 2","Commander Legends: Battle for Baldur's Gate","CLB","118","$0.25","$0.25","","1x","","","","R","Sorcery","5","{4}{B}","Black","""• For each player to secretly choose the creatures, that player should write down their choices without showing them to anyone else. Each player then keeps their choices secret until all players simultaneously reveal their choices.
• If a creature is chosen more than once, it is destroyed only once. For example, having a single shield counter on it would allow it to survive.""","563001","""Each player secretly chooses a creature they control and a creature they don't control. Then those choices are revealed. Destroy each creature chosen this way.""","0","0","0","USD","6836cfea-c203-49f4-b8d1-f1e8aa790db5","272920","5618791","","Liiga Smilshkalne","clb"
"Descent into Avernus","Descent into Avernus","Commander Legends 2","Commander Legends: Battle for Baldur's Gate","CLB","169","$1.99","$1.99","","1x","","","","R","Enchantment","3","{2}{R}","Red","""""","563052","""At the beginning of your upkeep, put two descent counters on Descent into Avernus. Then each player creates X Treasure tokens and Descent into Avernus deals X damage to each player, where X is the number of descent counters on Descent into Avernus.""","0","0","0","USD","faadf72f-b2d5-4271-8d5c-a586acf63453","272926","5619301","","Bruce Brenneise","clb"
"Displacer Kitten","Displacer Kitten","Commander Legends 2","Commander Legends: Battle for Baldur's Gate","CLB","63","$12.56","$12.56","","1x","","","","R","Creature — Cat Beast","4","{3}{U}","Blue","""• When the card returns to the battlefield, it will be a new object with no connection to the card that was exiled. Auras attached to the exiled creature will be put into their owners' graveyards. Any Equipment will become unattached and remain on the battlefield. Any counters on the exiled permanent will cease to exist.
• If a token is exiled this way, it will cease to exist and won't return to the battlefield.""","562946","""Avoidance — Whenever you cast a noncreature spell, exile up to one target nonland permanent you control, then return that card to the battlefield under its owner's control.""","2","2","0","USD","c7a401b8-29fb-46ef-a663-427f66724d5c","272901","5617046","","Campbell White","clb"
"Earthquake Dragon","Earthquake Dragon","Commander Legends 2","Commander Legends: Battle for Baldur's Gate","CLB","228","$1.40","$1.40","","1x","","","","R","Creature — Elemental Dragon","15","{14}{G}","Green","""• If a permanent has {X} in its mana cost, X is 0 when calculating its mana value.
• The total cost to cast Earthquake Dragon is locked in before you pay that cost. For example, if you control three Dragons, each with mana value 4, including one you can sacrifice to add {C}, the total cost of Earthquake Dragon is {2}{G}. Then you can sacrifice the Dragon as you activate mana abilities just before paying the cost.
• If the total mana value of Dragons you control is 14 or greater, Earthquake Dragon costs {G} to cast.
• Once a player has announced that they are casting Earthquake Dragon, no player may take actions to try and change the number of Dragons its controller controls before that spell's cost is locked in.
• Earthquake Dragon's last ability can be activated only if it is in your graveyard.""","563111","""This spell costs {X} less to cast, where X is the total mana value of Dragons you control.
Flying, trample
{2}{G}, Sacrifice a land: Return Earthquake Dragon from your graveyard to your hand.""","10","10","0","USD","bfedfd30-8075-429e-a0fa-4919920c8632","273062","5626597","","Johan Grenier","clb"
"Eldritch Pact","Eldritch Pact","Commander Legends 2","Commander Legends: Battle for Baldur's Gate","CLB","126","$0.35","$0.35","","1x","","","","R","Sorcery","7","{6}{B}","Black","""""","563009","""Target player draws X cards and loses X life, where X is the number of cards in their graveyard.""","0","0","0","USD","d578bdc3-1edf-4267-b612-2236b54329c6","273130","5629142","","Peter Polach","clb"
