Name,Name,List name,Edition,Edition code,Collector's number,Price,Price (total),Foil,QuantityX,Tag,Language,Condition,Rarity,Card Type,CMC,Mana Value,Color,Card Rulings,MultiverseID,Card Text,Power,Toughness,Loyalty,Currency,Scryfall ID,TCGPlayer productID,TCGPlayer Sku,Is Commander?,Artists,Edition code MTGO
"The Prismatic Piper","The Prismatic Piper","Commander legends 1/30/23","Commander Legends","CMR","1","$0.19","$3.04","","16x","","","","S","Legendary Creature — Shapeshifter","5","{5}","","""• To have two commanders, both must have the partner ability as the game begins. Losing the ability during the game doesn’t cause either to cease to be your commander.
• Once the game begins, your two commanders are tracked separately. If you cast one, you won’t have to pay an additional {2} the first time you cast the other. A player loses the game after having been dealt 21 damage from any one of them, not from both of them combined.
• If something refers to your commander while you have two commanders, it refers to one of them of your choice. If you are instructed to perform an action on your commander (e.g. put it from the command zone into your hand due to Command Beacon), you choose one of your commanders at the time the effect happens.
• An effect that checks whether you control your commander is satisfied if you control one or both of your two commanders.
• You can choose two commanders with partner that are the same color or colors. In Commander Draft, you can even choose two of the same commander with partner if you drafted them. If you do this, make sure you keep the number of times you’ve cast each from the command zone clear for “commander tax” purposes.
• If your Commander deck has two commanders, you can only include cards whose own color identities are also found in your commanders’ combined color identities. If Falthis and Kediss are your commanders, your deck may contain cards with black and/or red in their color identity, but not cards with green, white, or blue.
• Both commanders start in the command zone, and the remaining 98 cards (or 58 cards in a Commander Draft game) of your deck are shuffled to become your library.""","497521","""If The Prismatic Piper is your commander, choose a color before the game begins. The Prismatic Piper is the chosen color.
Partner (You can have two commanders if both have partner.)""","3","3","0","USD","a69e6d8f-f742-4508-a83a-38ae84be228c","221353","4535740","","Seb McKinnon","cmr"
"Abomination of Llanowar","Abomination of Llanowar","Commander legends 1/30/23","Commander Legends","CMR","265","$0.25","$1.00","","4x","","","","U","Legendary Creature — Elf Horror","3","{1}{B}{G}","Black/Green","""• The ability that defines Abomination of Llanowar’s power and toughness applies in all zones, not just the battlefield.
• As long as Abomination of Llanowar is on the battlefield (and still an Elf) or in your graveyard, its ability will count itself.""","497785","""Vigilance; menace (This creature can't be blocked except by two or more creatures.)
Abomination of Llanowar's power and toughness are each equal to the number of Elves you control plus the number of Elf cards in your graveyard.""","*","*","0","USD","567dbc64-4d59-4bab-a551-08fc66c085fa","226989","4654993","","Vincent Proce","cmr"
"Alena, Kessig Trapper","Alena, Kessig Trapper","Commander legends 1/30/23","Commander Legends","CMR","160","$0.25","$1.00","","4x","","","","U","Legendary Creature — Human Scout","5","{4}{R}","Red","""• Alena’s activated ability is a mana ability. It doesn’t use the stack and can’t be responded to. Players can’t attempt to change a creature’s power in response to it.
• Creatures that are no longer on the battlefield won’t be considered for Alena’s mana ability, even if they entered that turn.
• A creature you control that entered the battlefield as a noncreature permanent and/or under another player’s control will be counted for Alena’s mana ability.
• If your Commander deck has two commanders, you can only include cards whose own color identities are also found in your commanders’ combined color identities. If Falthis and Kediss are your commanders, your deck may contain cards with black and/or red in their color identity, but not cards with green, white, or blue.
• Both commanders start in the command zone, and the remaining 98 cards (or 58 cards in a Commander Draft game) of your deck are shuffled to become your library.
• To have two commanders, both must have the partner ability as the game begins. Losing the ability during the game doesn’t cause either to cease to be your commander.
• Once the game begins, your two commanders are tracked separately. If you cast one, you won’t have to pay an additional {2} the first time you cast the other. A player loses the game after having been dealt 21 damage from any one of them, not from both of them combined.
• If something refers to your commander while you have two commanders, it refers to one of them of your choice. If you are instructed to perform an action on your commander (e.g. put it from the command zone into your hand due to Command Beacon), you choose one of your commanders at the time the effect happens.
• An effect that checks whether you control your commander is satisfied if you control one or both of your two commanders.
• You can choose two commanders with partner that are the same color or colors. In Commander Draft, you can even choose two of the same commander with partner if you drafted them. If you do this, make sure you keep the number of times you’ve cast each from the command zone clear for “commander tax” purposes.""","497680","""First strike
{T}: Add an amount of {R} equal to the greatest power among creatures you control that entered the battlefield this turn.
Partner (You can have two commanders if both have partner.)""","4","3","0","USD","90c51949-b1ef-4c6e-98b0-4fb33a81db24","221352","4535650","","Zoltan Boros","cmr"
"Alharu, Solemn Ritualist","Alharu, Solemn Ritualist","Commander legends 1/30/23","Commander Legends","CMR","548","$0.50","$2.00","","4x","","","","U","Legendary Creature — Human Monk","5","{4}{W}","White","""• You create just one Spirit token, not one for each +1/+1 counter that was on the creature that died.
• If a creature you control with a +1/+1 counter on it dies at the same time as Alharu, Alharu’s ability triggers for that creature.
• If Alharu has a +1/+1 counter on it and dies, its ability triggers for itself.
• If your Commander deck has two commanders, you can only include cards whose own color identities are also found in your commanders’ combined color identities. If Falthis and Kediss are your commanders, your deck may contain cards with black and/or red in their color identity, but not cards with green, white, or blue.
• Both commanders start in the command zone, and the remaining 98 cards (or 58 cards in a Commander Draft game) of your deck are shuffled to become your library.
• To have two commanders, both must have the partner ability as the game begins. Losing the ability during the game doesn’t cause either to cease to be your commander.
• Once the game begins, your two commanders are tracked separately. If you cast one, you won’t have to pay an additional {2} the first time you cast the other. A player loses the game after having been dealt 21 damage from any one of them, not from both of them combined.
• If something refers to your commander while you have two commanders, it refers to one of them of your choice. If you are instructed to perform an action on your commander (e.g. put it from the command zone into your hand due to Command Beacon), you choose one of your commanders at the time the effect happens.
• An effect that checks whether you control your commander is satisfied if you control one or both of your two commanders.
• You can choose two commanders with partner that are the same color or colors. In Commander Draft, you can even choose two of the same commander with partner if you drafted them. If you do this, make sure you keep the number of times you’ve cast each from the command zone clear for “commander tax” purposes.""","502698","""When Alharu, Solemn Ritualist enters the battlefield, put a +1/+1 counter on each of up to two other target creatures.
Whenever a nontoken creature you control with a +1/+1 counter on it dies, create a 1/1 white Spirit creature token with flying.
Partner (You can have two commanders if both have partner.)""","3","3","0","USD","58ee8919-65f7-475c-972a-36d9c8d063fc","227151","","","Chris Rallis","cmr"
"Anara, Wolvid Familiar","Anara, Wolvid Familiar","Commander legends 1/30/23","Commander Legends","CMR","214","$0.25","$1.00","","4x","","","","U","Legendary Creature — Wolf Beast","4","{3}{G}","Green","""• If Anara is your commander, its first ability affects itself during your turn.
• Anara’s first ability affects commanders you control even if you don’t own them. It doesn’t affect your commander if another player controls it.
• Because damage remains marked on a creature until the damage is removed as the turn ends, nonlethal damage dealt to a commander you control may become lethal if Anara leaves the battlefield during that turn.
• If your Commander deck has two commanders, you can only include cards whose own color identities are also found in your commanders’ combined color identities. If Falthis and Kediss are your commanders, your deck may contain cards with black and/or red in their color identity, but not cards with green, white, or blue.
• Both commanders start in the command zone, and the remaining 98 cards (or 58 cards in a Commander Draft game) of your deck are shuffled to become your library.
• To have two commanders, both must have the partner ability as the game begins. Losing the ability during the game doesn’t cause either to cease to be your commander.
• Once the game begins, your two commanders are tracked separately. If you cast one, you won’t have to pay an additional {2} the first time you cast the other. A player loses the game after having been dealt 21 damage from any one of them, not from both of them combined.
• If something refers to your commander while you have two commanders, it refers to one of them of your choice. If you are instructed to perform an action on your commander (e.g. put it from the command zone into your hand due to Command Beacon), you choose one of your commanders at the time the effect happens.
• An effect that checks whether you control your commander is satisfied if you control one or both of your two commanders.
• You can choose two commanders with partner that are the same color or colors. In Commander Draft, you can even choose two of the same commander with partner if you drafted them. If you do this, make sure you keep the number of times you’ve cast each from the command zone clear for “commander tax” purposes.""","497734","""As long as it's your turn, commanders you control have indestructible. (Effects that say ""destroy"" don't destroy them. A creature with indestructible can't be destroyed by damage.)
Partner (You can have two commanders if both have partner.)""","4","4","0","USD","9a67cfaa-990c-4dcb-97a9-9c5d7316cabe","226943","4651703","","Jesper Ejsing","cmr"
"Angelic Armaments","Angelic Armaments","Commander legends 1/30/23","Commander Legends","CMR","296","$0.20","$0.60","","3x","","","","U","Artifact — Equipment","3","{3}","","""""","497816","""Equipped creature gets +2/+2, has flying, and is a white Angel in addition to its other colors and types.
Equip {4} ({4}: Attach to target creature you control. Equip only as a sorcery.)""","0","0","0","USD","92824de1-23f2-44c6-b8ab-46db94b8f79e","227113","4661550","","Daniel Ljunggren","cmr"
"Araumi of the Dead Tide","Araumi of the Dead Tide","Commander legends 1/30/23","Commander Legends","CMR","267","$0.25","$1.25","","5x","","","","U","Legendary Creature — Merfolk Wizard","3","{1}{U}{B}","Blue/Black","""• If the creature card has {X} in its mana cost, you can choose any value for X, but the value you choose won’t apply to the tokens that are created. X will be 0 for those tokens.
• Exiling the card with encore is a cost to activate the ability. Once you announce that you’re activating it, no player may take actions until you’ve finished. They can’t try to remove the card from your graveyard to stop you from paying the cost.
• Opponents who have left the game aren’t counted when determining how many tokens to create.
• The tokens copy only what’s on the original card. Effects that modified that creature when it was previously on the battlefield won’t be copied.
• Each token must attack the appropriate player if able.
• If one of the tokens can’t attack for any reason (such as being tapped), then it doesn’t attack. If there’s a cost associated with having it attack, you aren’t forced to pay that cost, so it doesn’t have to attack in that case either.
• If an effect stops a token from attacking a specific player, that token can attack any player or planeswalker, or not attack at all. If the effect stops the token from attacking a specific player unless a cost is paid, you don’t have to pay that cost unless you want to attack that player.
• If one of the tokens somehow is under another player’s control as the delayed triggered ability resolves, you can’t sacrifice that token. It remains on the battlefield indefinitely, even if you regain control of it later.""","497787","""{T}, Exile cards from your graveyard equal to the number of opponents you have: Target creature card in your graveyard gains encore until end of turn. The encore cost is equal to its mana cost. (Exile the creature card and pay its mana cost: For each opponent, create a token copy that attacks that opponent this turn if able. They gain haste. Sacrifice them at the beginning of the next end step. Activate only as a sorcery.)""","1","4","0","USD","48b597dd-f6eb-45da-977d-453e8c1433cc","226972","4653603","","Daarken","cmr"
"Arcane Signet","Arcane Signet","Commander legends 1/30/23","Commander Legends","CMR","297","$0.95","$0.95","","1x","","","","U","Artifact","2","{2}","","""• If you have two commanders, the ability adds one mana of any color in their combined color identities.
• If your commander is a card that has no colors in its color identity, Arcane Signet's ability produces no mana. It doesn't produce {C}.
• If you don't have a commander, Arcane Signet's ability produces no mana.""","497817","""{T}: Add one mana of any color in your commander's color identity.""","0","0","0","USD","ee40458c-7f3a-4fa6-976f-be1f7a336fdc","226694","4641126","","Dan Scott","cmr"
"Ardenn, Intrepid Archaeologist","Ardenn, Intrepid Archaeologist","Commander legends 1/30/23","Commander Legends","CMR","10","$0.48","$1.92","","4x","","","","U","Legendary Creature — Kor Scout","3","{2}{W}","White","""• You choose which Auras and Equipment to move as Ardenn’s ability resolves. Players can’t take actions between the time you choose what to move and the time they’re attached to the target permanent or player.
• Other players and permanents controlled by other players can be targeted by Ardenn’s ability. This can cause Equipment under your control to be attached to a creature an opponent controls. Auras and Equipment that say “you” still refer to you, as you still control them. Ardenn’s ability can’t cause an Aura or Equipment to be attached to something it couldn’t be attached to.
• If your Commander deck has two commanders, you can only include cards whose own color identities are also found in your commanders’ combined color identities. If Falthis and Kediss are your commanders, your deck may contain cards with black and/or red in their color identity, but not cards with green, white, or blue.
• Both commanders start in the command zone, and the remaining 98 cards (or 58 cards in a Commander Draft game) of your deck are shuffled to become your library.
• To have two commanders, both must have the partner ability as the game begins. Losing the ability during the game doesn’t cause either to cease to be your commander.
• Once the game begins, your two commanders are tracked separately. If you cast one, you won’t have to pay an additional {2} the first time you cast the other. A player loses the game after having been dealt 21 damage from any one of them, not from both of them combined.
• If something refers to your commander while you have two commanders, it refers to one of them of your choice. If you are instructed to perform an action on your commander (e.g. put it from the command zone into your hand due to Command Beacon), you choose one of your commanders at the time the effect happens.
• An effect that checks whether you control your commander is satisfied if you control one or both of your two commanders.
• You can choose two commanders with partner that are the same color or colors. In Commander Draft, you can even choose two of the same commander with partner if you drafted them. If you do this, make sure you keep the number of times you’ve cast each from the command zone clear for “commander tax” purposes.""","497530","""At the beginning of combat on your turn, you may attach any number of Auras and Equipment you control to target permanent or player.
Partner (You can have two commanders if both have partner.)""","2","2","0","USD","728b802c-969b-4865-b7a0-871c585d097a","226861","4647081","","Jason Rainville","cmr"
"Ardenn, Intrepid Archaeologist","Ardenn, Intrepid Archaeologist","Commander legends 1/30/23","Commander Legends","CMR","10","$0.75","$0.75","Foil","1x","","","","U","Legendary Creature — Kor Scout","3","{2}{W}","White","""• You choose which Auras and Equipment to move as Ardenn’s ability resolves. Players can’t take actions between the time you choose what to move and the time they’re attached to the target permanent or player.
• Other players and permanents controlled by other players can be targeted by Ardenn’s ability. This can cause Equipment under your control to be attached to a creature an opponent controls. Auras and Equipment that say “you” still refer to you, as you still control them. Ardenn’s ability can’t cause an Aura or Equipment to be attached to something it couldn’t be attached to.
• If your Commander deck has two commanders, you can only include cards whose own color identities are also found in your commanders’ combined color identities. If Falthis and Kediss are your commanders, your deck may contain cards with black and/or red in their color identity, but not cards with green, white, or blue.
• Both commanders start in the command zone, and the remaining 98 cards (or 58 cards in a Commander Draft game) of your deck are shuffled to become your library.
• To have two commanders, both must have the partner ability as the game begins. Losing the ability during the game doesn’t cause either to cease to be your commander.
• Once the game begins, your two commanders are tracked separately. If you cast one, you won’t have to pay an additional {2} the first time you cast the other. A player loses the game after having been dealt 21 damage from any one of them, not from both of them combined.
• If something refers to your commander while you have two commanders, it refers to one of them of your choice. If you are instructed to perform an action on your commander (e.g. put it from the command zone into your hand due to Command Beacon), you choose one of your commanders at the time the effect happens.
• An effect that checks whether you control your commander is satisfied if you control one or both of your two commanders.
• You can choose two commanders with partner that are the same color or colors. In Commander Draft, you can even choose two of the same commander with partner if you drafted them. If you do this, make sure you keep the number of times you’ve cast each from the command zone clear for “commander tax” purposes.""","497530","""At the beginning of combat on your turn, you may attach any number of Auras and Equipment you control to target permanent or player.
Partner (You can have two commanders if both have partner.)""","2","2","0","USD","728b802c-969b-4865-b7a0-871c585d097a","226861","4647086","","Jason Rainville","cmr"
