Name,Name,List name,Edition,Edition code,Collector's number,Price,Price (total),Foil,QuantityX,Tag,Language,Condition,Rarity,Card Type,CMC,Mana Value,Color,Card Rulings,MultiverseID,Card Text,Power,Toughness,Loyalty,Currency,Scryfall ID,TCGPlayer productID,TCGPlayer Sku,Is Commander?,Artists,Edition code MTGO
"Aegis of the Heavens","Aegis of the Heavens","Core set 2019 1/30/23","Core Set 2019","M19","1","$0.25","$0.50","","2x","","","","U","Instant","2","{1}{W}","White","""""","447137","""Target creature gets +1/+7 until end of turn.""","0","0","0","USD","0503c55d-74bb-4165-9273-127c01bb2214","169279","3766551","","Anthony Palumbo","m19"
"Aerial Engineer","Aerial Engineer","Core set 2019 1/30/23","Core Set 2019","M19","211","$0.22","$0.44","","2x","","","","U","Creature — Human Artificer","4","{2}{W}{U}","White/Blue","""""","447347","""As long as you control an artifact, Aerial Engineer gets +2/+0 and has flying.""","2","4","0","USD","5314bae2-4930-4f8a-8a52-853bc3feb88f","169064","3765030","","Zoltan Boros","m19"
"Aether Tunnel","Aether Tunnel","Core set 2019 1/30/23","Core Set 2019","M19","43","$0.34","$0.68","","2x","","","","U","Enchantment — Aura","2","{1}{U}","Blue","""""","447179","""Enchant creature
Enchanted creature gets +1/+0 and can't be blocked.""","0","0","0","USD","5d6178ed-6353-4733-81e1-7b3dc592c3bd","169303","3766791","","Lucas Graciano","m19"
"Aethershield Artificer","Aethershield Artificer","Core set 2019 1/30/23","Core Set 2019","M19","2","$0.25","$0.25","","1x","","","","U","Creature — Dwarf Artificer","4","{3}{W}","White","""""","447138","""At the beginning of combat on your turn, target artifact creature you control gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)""","3","3","0","USD","226f7c45-db9f-4d48-b575-4d2f1904c963","169280","3766561","","Izzy","m19"
"Ajani's Welcome","Ajani's Welcome","Core set 2019 1/30/23","Core Set 2019","M19","6","$2.29","$2.29","","1x","","","","U","Enchantment","1","{W}","White","""""","447142","""Whenever a creature enters the battlefield under your control, you gain 1 life.""","0","0","0","USD","c9045fcb-b633-4c35-8058-6234311551ae","169106","3765314","","Eric Deschamps","m19"
"Alirios, Enraptured","Alirios, Enraptured","Core set 2019 1/30/23","Theros Beyond Death","THB","42","$0.25","$0.75","","3x","","","","U","Legendary Creature — Human","3","{2}{U}","Blue","""• Once you no longer control a Reflection, Alirios doesn’t immediately become untapped. It’ll be untapped during your next untap step.
• Spells and abilities can untap Alirios, even if it doesn’t untap during your untap step.""","476293","""Alirios, Enraptured enters the battlefield tapped.
Alirios doesn't untap during your untap step if you control a Reflection.
When Alirios enters the battlefield, create a 3/2 blue Reflection creature token.""","2","3","0","USD","26f9ebbe-3791-4d19-88d2-d5de95faff48","207152","4313658","","Kieran Yanner","thb"
"Arcane Encyclopedia","Arcane Encyclopedia","Core set 2019 1/30/23","Core Set 2019","M19","227","$0.25","$0.50","","2x","","","","U","Artifact","3","{3}","","""""","447364","""{3}, {T}: Draw a card.""","0","0","0","USD","0ce4702d-f65b-413e-99da-112f632a0a63","169317","3766916","","Nic Klein","m19"
"Blanchwood Armor","Blanchwood Armor","Core set 2019 1/30/23","Core Set 2019","M19","169","$0.25","$0.50","","2x","","","","U","Enchantment — Aura","3","{2}{G}","Green","""""","447305","""Enchant creature
Enchanted creature gets +1/+1 for each Forest you control.""","0","0","0","USD","1b01d243-9f68-47c7-980b-1418e5f2f3e9","169319","3766936","","Paolo Parente","m19"
"Bone to Ash","Bone to Ash","Core set 2019 1/30/23","Core Set 2019","M19","47","$0.24","$0.48","","2x","","","","U","Instant","4","{2}{U}{U}","Blue","""• A creature spell that can’t be countered is a legal target for Bone to Ash. The creature spell won’t be countered when Bone to Ash resolves, but you’ll still draw a card.""","447183","""Counter target creature spell.
Draw a card.""","0","0","0","USD","4579e7fc-650d-41ba-8ed7-3bd6453a3ce3","169300","3766761","","Clint Cearley","m19"
"Brawl-Bash Ogre","Brawl-Bash Ogre","Core set 2019 1/30/23","Core Set 2019","M19","213","$0.24","$0.24","","1x","","","","U","Creature — Ogre Warrior","4","{2}{B}{R}","Black/Red","""• While resolving the triggered ability of Brawl-Bash Ogre, you can’t sacrifice multiple creatures to give it +2/+2 more than once.
• Once Brawl-Bash Ogre’s triggered ability begins to resolve, no player may take actions until it’s done. Notably, players can’t try to deal damage to Brawl-Bash Ogre after you’ve sacrificed a creature but before it gets +2/+2.""","447349","""Menace (This creature can't be blocked except by two or more creatures.)
Whenever Brawl-Bash Ogre attacks, you may sacrifice another creature. If you do, Brawl-Bash Ogre gets +2/+2 until end of turn.""","3","3","0","USD","38b9f9d7-a00d-4a90-9d7a-88ece10af328","169068","3765070","","Even Amundsen","m19"
"Colossal Majesty","Colossal Majesty","Core set 2019 1/30/23","Core Set 2019","M19","173","$0.99","$0.99","","1x","","","","U","Enchantment","3","{2}{G}","Green","""• If you don't control a creature with power 4 or greater as your upkeep begins, Colossal Majesty's ability won't trigger. You can't take any actions during your turn before your upkeep begins.
• If you don't control a creature with power 4 or greater as Colossal Majesty's ability resolves, you won't draw a card.
• The creature with power 4 or greater that you control as Colossal Majesty's ability resolves doesn't have to be the same creature with power 4 or greater that was under your control as the ability triggered.
• You draw only one card, no matter how many creatures with power 4 or greater you control.""","447309","""At the beginning of your upkeep, if you control a creature with power 4 or greater, draw a card.""","0","0","0","USD","93f99796-ddc5-4ccd-b925-35622a8648b8","168594","3761343","","Randy Vargas","m19"
"Declare Dominance","Declare Dominance","Core set 2019 1/30/23","Core Set 2019","M19","175","$0.25","$0.25","","1x","","","","U","Sorcery","5","{3}{G}{G}","Green","""• If a creature the defending player controls can’t block the target creature for any reason (such as being tapped), then it doesn’t block that creature. If there’s a cost associated with having a creature block the attacking creature, the defending player isn’t forced to pay that cost, so it doesn’t have to block in that case either.""","447311","""Target creature gets +3/+3 until end of turn. All creatures able to block it this turn do so.""","0","0","0","USD","78271f34-f62e-4771-b430-b121097b8fb6","168598","3761383","","Simon Dominic","m19"
