Name,Name,List name,Edition,Edition code,Collector's number,Price,Price (total),Foil,QuantityX,Tag,Language,Condition,Rarity,Card Type,CMC,Mana Value,Color,Card Rulings,MultiverseID,Card Text,Power,Toughness,Loyalty,Currency,Scryfall ID,TCGPlayer productID,TCGPlayer Sku,Is Commander?,Artists,Edition code MTGO
"Corpse Knight","Corpse Knight","Core set 2020 (1/31/23)","Core Set 2020","M20","206†","$0.49","$0.49","","1x","","","","U","Creature — Zombie Knight","2","{W}{B}","White/Black","""• In a Two-Headed Giant game, Corpse Knight’s ability causes the opposing team to lose 1 life twice.""","0","""Whenever another creature enters the battlefield under your control, each opponent loses 1 life.""","2","2","0","USD","cfbcf6e7-d7cf-4103-85b3-8d9d104587e1","194081","4135482","","Karl Kopinski","m20"
"Creeping Trailblazer","Creeping Trailblazer","Core set 2020 (1/31/23)","Core Set 2020","M20","207","$0.25","$0.25","","1x","","","","U","Creature — Elemental","2","{R}{G}","Red/Green","""• The size of the bonus is determined as Creeping Trailblazer’s last ability begins to resolve; it won’t change later in the turn if the number of Elementals you control changes.
• Because Creeping Trailblazer is itself an Elemental, its last ability will usually give it at least +1/+1.""","466961","""Other Elementals you control get +1/+0.
{2}{R}{G}: Creeping Trailblazer gets +1/+1 until end of turn for each Elemental you control.""","2","2","0","USD","f0b96e41-caae-4e22-82f9-df5a054ea3b7","192520","4091468","","Johan Grenier","m20"
"Disfigure","Disfigure","Core set 2020 (1/31/23)","Core Set 2020","M20","95","$0.25","$0.25","","1x","","","","U","Instant","1","{B}","Black","""""","466849","""Target creature gets -2/-2 until end of turn.""","0","0","0","USD","18069340-a698-4f75-82cc-cc94fcf82184","192506","4090528","","Justin Sweet","m20"
"Ember Hauler","Ember Hauler","Core set 2020 (1/31/23)","Core Set 2020","M20","137","$0.25","$0.25","","1x","","","","U","Creature — Goblin","2","{R}{R}","Red","""""","466891","""{1}, Sacrifice Ember Hauler: It deals 2 damage to any target.""","2","2","0","USD","159d476e-2f20-4f9b-adfd-9c541dc3e199","192598","4096269","","Steve Prescott","m20"
"Empyrean Eagle","Empyrean Eagle","Core set 2020 (1/31/23)","Core Set 2020","M20","208","$0.35","$0.35","","1x","","","","U","Creature — Bird Spirit","3","{1}{W}{U}","White/Blue","""• Because damage remains marked on a creature until it’s removed as the turn ends, nonlethal damage dealt to other creatures you control with flying may become lethal if Empyrean Eagle leaves the battlefield during that turn.""","466962","""Flying
Other creatures you control with flying get +1/+1.""","2","3","0","USD","ac555709-c7cc-4c64-8a6f-8fe2bc149fcd","192526","4092128","","Jason A. Engle","m20"
"Herald of the Sun","Herald of the Sun","Core set 2020 (1/31/23)","Core Set 2020","M20","23","$0.25","$0.25","","1x","","","","U","Creature — Angel","6","{4}{W}{W}","White","""""","466777","""Flying
{3}{W}: Put a +1/+1 counter on another target creature with flying.""","4","4","0","USD","9c62f724-7fb4-4498-b5c1-cf65d86d8e95","192639","4102090","","Micah Epstein","m20"
"Ironroot Warlord","Ironroot Warlord","Core set 2020 (1/31/23)","Core Set 2020","M20","209","$0.25","$0.25","","1x","","","","U","Creature — Treefolk Soldier","3","{1}{G}{W}","White/Green","""• The ability that defines Ironroot Warlord’s power works in all zones, not just the battlefield.
• As long as Ironroot Warlord is on the battlefield, its first ability will count itself, so its power will be at least 1.""","466963","""Ironroot Warlord's power is equal to the number of creatures you control.
{3}{G}{W}: Create a 1/1 white Soldier creature token.""","*","5","0","USD","edec85ce-7daa-48c2-b25d-b22941e01e73","192527","4092238","","Filip Burburan","m20"
"Overgrowth Elemental","Overgrowth Elemental","Core set 2020 (1/31/23)","Core Set 2020","M20","187","$0.25","$0.25","","1x","","","","U","Creature — Elemental","3","{2}{G}","Green","""• If a creature you control dies at the same time that your life total becomes 0 or less, you lose the game before Overgrowth Elemental’s last ability can save you.
• If Overgrowth Elemental dies at the same time as one or more other creatures you control, Overgrowth Elemental’s last ability triggers for each of those other creatures. You will gain 1 life for each of them, but if any of those creatures were Elementals, Overgrowth Elemental won’t get a +1/+1 counter since it’s already left the battlefield.""","466941","""When Overgrowth Elemental enters the battlefield, put a +1/+1 counter on another target Elemental you control.
Whenever another creature you control dies, you gain 1 life. If that creature was an Elemental, put a +1/+1 counter on Overgrowth Elemental.""","3","2","0","USD","7c9a13eb-2daf-43e0-b175-c6ec5b9e191e","192553","4094894","","Mathias Kollros","m20"
"Scuttlemutt","Scuttlemutt","Core set 2020 (1/31/23)","Core Set 2020","M20","238","$0.26","$0.26","","1x","","","","U","Artifact Creature — Scarecrow","3","{3}","","""• You must choose one or more of the five colors of Magic while resolving Scuttlemutt’s last ability. You can’t choose “artifact,” “colorless,” or “chartreuse.”
• The target creature has only the colors Scuttlemutt gives it—Scuttlemutt’s ability overwrites any previous colors the creature had.
• In the Commander variant, the color identities of cards are determined as the game begins. Changing the colors of a player’s commander doesn’t affect its color identity or the cards that can be legally included in the deck.""","466992","""{T}: Add one mana of any color.
{T}: Target creature becomes the color or colors of your choice until end of turn.""","2","2","0","USD","39f2d2e8-a9ed-42cc-9a8a-fc697a7251e5","192641","4102410","","Jeremy Jarvis","m20"
"Aerial Assault","Aerial Assault","Core set 2020 (1/31/23)","Core Set 2020","M20","1","$0.19","$0.19","","1x","","","","C","Sorcery","3","{2}{W}","White","""• If the target creature is an illegal target by the time Aerial Assault tries to resolve, the spell doesn’t resolve. You won’t gain life. If the target is legal but is not destroyed (most likely because it has indestructible), you will gain life.
• Any abilities that trigger as the target creature is destroyed won’t resolve until after you’ve gained life.
• If any creatures were exiled “until” the target creature left the battlefield, those creatures will return before you gain life.""","466755","""Destroy target tapped creature. You gain 1 life for each creature you control with flying.""","0","0","0","USD","64d9c182-cbb3-4791-90dd-0e533ddeebda","192645","4102850","","Dan Scott","m20"
