Name,Name,List name,Edition,Edition code,Collector's number,Price,Price (total),Foil,QuantityX,Tag,Language,Condition,Rarity,Card Type,CMC,Mana Value,Color,Card Rulings,MultiverseID,Card Text,Power,Toughness,Loyalty,Currency,Scryfall ID,TCGPlayer productID,TCGPlayer Sku,Is Commander?,Artists,Edition code MTGO
"Dark Depths","Dark Depths","Dominaria remastered 2/18/23","Dominaria Remastered","DMR","244","$5.01","$5.01","","1x","","","","M","Legendary Snow Land","0","","Land","""• Dark Depths doesn’t have a mana ability. It doesn’t tap for colorless mana.
• The last ability of Dark Depths is a state trigger. It won’t trigger again while the ability is on the stack, but if the ability is countered and Dark Depths is still on the battlefield with no ice counters on it, it will trigger again immediately.
• If Dark Depths leaves the battlefield before its triggered ability resolves, you won’t be able to sacrifice it, so you won’t create Marit Lage.""","599118","""Dark Depths enters the battlefield with ten ice counters on it.
{3}: Remove an ice counter from Dark Depths.
When Dark Depths has no ice counters on it, sacrifice it. If you do, create Marit Lage, a legendary 20/20 black Avatar creature token with flying and indestructible.""","0","0","0","USD","3a8b11ad-d077-40b6-988c-0462e118fe3d","457067","6786714","","Mathias Kollros","dmr"
"No Mercy","No Mercy","Dominaria remastered 2/18/23","Dominaria Remastered","DMR","427","$10.18","$10.18","Foil","1x","","","","M","Enchantment","4","{2}{B}{B}","Black","""• No Mercy’s ability triggers whenever any creature, including creatures you control, deals damage to you, not only combat damage.""","600978","""Whenever a creature deals damage to you, destroy it.""","0","0","0","USD","7295eb82-8785-4a5f-ba64-0a0b5cb77d3f","457119","6789880","","Ron Spencer","dmr"
"No Mercy","No Mercy","Dominaria remastered 2/18/23","Dominaria Remastered","DMR","95","$8.00","$8.00","","1x","","","","M","Enchantment","4","{2}{B}{B}","Black","""• No Mercy’s ability triggers whenever any creature, including creatures you control, deals damage to you, not only combat damage.""","598969","""Whenever a creature deals damage to you, destroy it.""","0","0","0","USD","63c5e1dd-2fe6-4734-8406-7bcdf17aa60c","457115","6789555","","Mark Tedin","dmr"
"Serra Avatar","Serra Avatar","Dominaria remastered 2/18/23","Dominaria Remastered","DMR","26","$0.50","$0.50","","1x","","","","M","Creature — Avatar","7","{4}{W}{W}{W}","White","""• The ability that defines Serra Avatar’s power and toughness works in all zones, not only the battlefield.
• If Serra Avatar is no longer in your graveyard when its triggered ability resolves, you still shuffle your library.""","598900","""Serra Avatar's power and toughness are each equal to your life total.
When Serra Avatar is put into a graveyard from anywhere, shuffle it into its owner's library.""","*","*","0","USD","5041dcfd-c1af-448c-91f7-75fd1d34e93e","457097","6788215","","Victor Adame Minguez","dmr"
"Vampiric Tutor","Vampiric Tutor","Dominaria remastered 2/18/23","Dominaria Remastered","DMR","430","$32.00","$32.00","","1x","","","","M","Instant","1","{B}","Black","""• The “shuffle and put the card on top” is a single action. If an effect causes the top card of the library to be face up, the second card down is not revealed.""","600981","""Search your library for a card, then shuffle and put that card on top. You lose 2 life.""","0","0","0","USD","3c04bbbe-cae0-4ac5-8bd3-ecc95a2b6bd8","457181","6794466","","Richard Kane Ferguson","dmr"
"Yawgmoth, Thran Physician","Yawgmoth, Thran Physician","Dominaria remastered 2/18/23","Dominaria Remastered","DMR","315","$13.13","$13.13","","1x","","","","M","Legendary Creature — Human Cleric","4","{2}{B}{B}","Black","""• If a permanent ever has both +1/+1 counters and -1/-1 counters on it at the same time, they're removed in pairs as a state-based action so that the permanent has only one of those kinds of counters on it.
• To proliferate, you can choose any permanent that has a counter, including ones controlled by opponents. You can choose any player who has a counter, including opponents. You can't choose cards in any zone other than the battlefield, even if they have counters on them.
• You don't have to choose every permanent or player that has a counter, only the ones you want to add another counter to. Since ""any number"" includes zero, you don't have to choose any permanents at all, and you don't have to choose any players at all.
• If a player or permanent has more than one kind of counter on it, and you choose for it to get additional counters, it must get one of each kind of counter it already has. You can't have it get just one kind of counter it already has and not the others.
• An ability that triggers ""Whenever you proliferate"" triggers even if you chose no permanents or players while doing so.
• Players can respond to a spell or ability whose effect includes proliferating. Once that spell or ability starts to resolve, however, and its controller chooses which permanents and players will get new counters, it's too late for anyone to respond.
• If a permanent has +1/+1 counters and -1/-1 counters on it, they’re removed in pairs as a state-based action until that permanent has only one of those kinds of counters on it.
• To proliferate, you can choose any permanent that has a counter, including ones controlled by opponents. You can’t choose cards in any zone other than the battlefield, even if they have counters on them.
• You don’t have to choose every permanent or player that has a counter, only the ones you want to add another counter to. Since “any number” includes zero, you don’t have to choose any permanents at all, and you don’t have to choose any players at all.
• Players can respond to a spell or ability whose effect includes proliferating. Once that spell or ability starts to resolve, however, and its controller chooses which permanents and players will get new counters, it’s too late for anyone to respond.
• Protection from Humans refers only to the creature type Human. As far as Yawgmoth is concerned, you, your opponents, and planeswalkers aren't Humans.
• You may activate Yawgmoth's first activated ability without choosing a target creature. You'll just draw a card. However, if you choose a target and it becomes illegal before the ability tries to resolve, the ability won't resolve and you won't draw a card.""","601384","""Protection from Humans
Pay 1 life, Sacrifice another creature: Put a -1/-1 counter on up to one target creature and draw a card.
{B}{B}, Discard a card: Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)""","2","4","0","USD","4ef603c2-b09c-40e9-b3ab-fceb4964aafd","457085","6787513","","Mark Winters","dmr"
"Arboria","Arboria","Dominaria remastered 2/18/23","Dominaria Remastered","DMR","149","$0.45","$0.45","","1x","","","","R","World Enchantment","4","{2}{G}{G}","Green","""• Arboria doesn’t stop creatures from attacking planeswalkers, regardless of what their controllers did or didn’t do during their last turns.
• Arboria’s effect cares whether a player put a nontoken permanent onto the battlefield. It’s unusual for an ability to care who put a permanent onto the battlefield, as opposed to under whose control it entered.
• Arboria’s effect cares about the actions taken by players, not their results. If a player cast a spell during their last turn but that spell was countered, that player may still be attacked. The same is true if a player put a nontoken permanent onto the battlefield during their last turn, but that permanent left the battlefield before their turn ended.
• If two or more permanents have the world supertype, all of them are put into their owners’ graveyards except the one that has had the world supertype for the shortest amount of time. If there’s a tie for the shortest amount of time, all world permanents are put into the graveyard.""","599023","""Creatures can't attack a player unless that player cast a spell or put a nontoken permanent onto the battlefield during their last turn.""","0","0","0","USD","b18f4de2-adfe-4784-bd57-9e2ad9088825","449594","6654247","","Uriah Voth","dmr"
"Arboria","Arboria","Dominaria remastered 2/18/23","Dominaria Remastered","DMR","335","$0.44","$0.44","","1x","","","","R","World Enchantment","4","{2}{G}{G}","Green","""• Arboria doesn’t stop creatures from attacking planeswalkers, regardless of what their controllers did or didn’t do during their last turns.
• Arboria’s effect cares whether a player put a nontoken permanent onto the battlefield. It’s unusual for an ability to care who put a permanent onto the battlefield, as opposed to under whose control it entered.
• Arboria’s effect cares about the actions taken by players, not their results. If a player cast a spell during their last turn but that spell was countered, that player may still be attacked. The same is true if a player put a nontoken permanent onto the battlefield during their last turn, but that permanent left the battlefield before their turn ended.
• If two or more permanents have the world supertype, all of them are put into their owners’ graveyards except the one that has had the world supertype for the shortest amount of time. If there’s a tie for the shortest amount of time, all world permanents are put into the graveyard.""","601404","""Creatures can't attack a player unless that player cast a spell or put a nontoken permanent onto the battlefield during their last turn.""","0","0","0","USD","b15b991e-b5c1-4d23-ba3a-4554c272a41f","449609","6654852","","Uriah Voth","dmr"
"Arcades Sabboth","Arcades Sabboth","Dominaria remastered 2/18/23","Dominaria Remastered","DMR","187","$0.30","$0.30","","1x","","","","R","Legendary Creature — Elder Dragon","8","{2}{G}{G}{W}{W}{U}{U}","White/Blue/Green","""• As long as Arcades Sabboth is untapped and isn’t attacking, it gets +0/+2 from its own third ability.""","599061","""Flying
At the beginning of your upkeep, sacrifice Arcades Sabboth unless you pay {G}{W}{U}.
Each untapped creature you control gets +0/+2 as long as it's not attacking.
{W}: Arcades Sabboth gets +0/+1 until end of turn.""","7","7","0","USD","175695bb-2630-4269-a407-9138c7008e81","457426","6803656","","Steven Belledin","dmr"
"Clifftop Retreat","Clifftop Retreat","Dominaria remastered 2/18/23","Dominaria Remastered","DMR","241","$2.33","$2.33","","1x","","","","R","Land","0","","Land","""""","599115","""Clifftop Retreat enters the battlefield tapped unless you control a Mountain or a Plains.
{T}: Add {R} or {W}.""","0","0","0","USD","7c5f775a-2eb3-4151-b21d-9fe62ae17f54","457092","6787865","","Christine Choi","dmr"
