Name,Name,List name,Edition,Edition code,Collector's number,Price,Price (total),Foil,QuantityX,Tag,Language,Condition,Rarity,Card Type,CMC,Mana Value,Color,Card Rulings,MultiverseID,Card Text,Power,Toughness,Loyalty,Currency,Scryfall ID,TCGPlayer productID,TCGPlayer Sku,Is Commander?,Artists,Edition code MTGO
"Auriok Salvagers","Auriok Salvagers","Double master 1/30/23","Double Masters","2XM","6","$0.25","$0.50","","2x","","","","U","Creature — Human Soldier","4","{3}{W}","White","""• If a card in a player's graveyard has {X} in its mana cost, X is considered to be 0.""","489679","""{1}{W}: Return target artifact card with mana value 1 or less from your graveyard to your hand.""","2","4","0","USD","befb996b-1da6-41a3-8d9a-a45c2353c401","218599","4505795","","Randy Gallegos","2xm"
"Basalt Monolith","Basalt Monolith","Double master 1/30/23","Double Masters","2XM","232","$3.33","$6.66","","2x","","","","U","Artifact","3","{3}","","""• Basalt Monolith's last ability can untap it as often as you can pay for it. If you believe you've found a way to generate an unbounded amount of mana with it, you're probably right.""","489905","""Basalt Monolith doesn't untap during your untap step.
{T}: Add {C}{C}{C}.
{3}: Untap Basalt Monolith.""","0","0","0","USD","f79de5e7-1545-420c-bfe1-ee2444fca85b","218842","4510429","","Yeong-Hao Han","2xm"
"Bloodshot Trainee","Bloodshot Trainee","Double master 1/30/23","Double Masters","2XM","119","$0.25","$0.25","","1x","","","","U","Creature — Goblin Warrior","4","{3}{R}","Red","""• Once Bloodshot Trainee's ability has been activated, it will deal damage even if Bloodshot Trainee's power is less than 4 by the time the ability resolves.""","489792","""{T}: Bloodshot Trainee deals 4 damage to target creature. Activate only if Bloodshot Trainee's power is 4 or greater.""","2","3","0","USD","779a130b-1d23-4a20-9914-dbdc2268ae3b","219513","4518210","","Matt Stewart","2xm"
"Brimstone Volley","Brimstone Volley","Double master 1/30/23","Double Masters","2XM","120","$0.25","$0.25","","1x","","","","U","Instant","3","{2}{R}","Red","""""","489793","""Brimstone Volley deals 3 damage to any target.
Morbid — Brimstone Volley deals 5 damage instead if a creature died this turn.""","0","0","0","USD","94fa0577-f02a-4d24-835b-fef8d849b37a","219517","4518410","","Eytan Zana","2xm"
"Chief of the Foundry","Chief of the Foundry","Double master 1/30/23","Double Masters","2XM","238","$0.25","$0.25","","1x","","","","U","Artifact Creature — Construct","3","{3}","","""• Because damage remains marked on a creature until the damage is removed as the turn ends, nonlethal damage dealt to an artifact creature you control may become lethal if Chief of the Foundry leaves the battlefield during that turn.""","489911","""Other artifact creatures you control get +1/+1.""","2","3","0","USD","bf306f7f-b231-4343-807c-083df8b90c87","219243","4515400","","Daniel Ljunggren","2xm"
"Clone Shell","Clone Shell","Double master 1/30/23","Double Masters","2XM","241","$0.25","$0.25","","1x","","","","U","Artifact Creature — Shapeshifter","5","{5}","","""• As Clone Shell's first ability resolves, you must exile one of the cards you look at, even if none of them is a creature card.
• As Clone Shell's second ability resolves, if the exiled card is not a creature card, it simply remains in exile face up.
• If you gain control of another player's Clone Shell, you can't look at the face-down exiled card. However, if Clone Shell dies, you turn that card face up and, if it's a creature card, you put it onto the battlefield under your control.""","489914","""Imprint — When Clone Shell enters the battlefield, look at the top four cards of your library, exile one face down, then put the rest on the bottom of your library in any order.
When Clone Shell dies, turn the exiled card face up. If it's a creature card, put it onto the battlefield under your control.""","2","2","0","USD","6c627ec9-f75c-4a9d-8a4f-1f632a67e17b","219623","4523705","","Volkan Baǵa","2xm"
"Crop Rotation","Crop Rotation","Double master 1/30/23","Double Masters","2XM","161","$1.29","$2.58","","2x","","","","U","Instant","1","{G}","Green","""• You can’t cast Crop Rotation without sacrificing a land, and you can’t sacrifice additional lands.""","489834","""As an additional cost to cast this spell, sacrifice a land.
Search your library for a land card, put that card onto the battlefield, then shuffle.""","0","0","0","USD","4249cc64-f75b-4c76-a41a-5b25873c74bc","218444","4503826","","Daniel Ljunggren","2xm"
"Culling Dais","Culling Dais","Double master 1/30/23","Double Masters","2XM","246","$0.25","$0.25","","1x","","","","U","Artifact","2","{2}","","""• As Culling Dais's last ability resolves, its last existence on the battlefield is checked to determine how many charge counters were on it.""","489919","""{T}, Sacrifice a creature: Put a charge counter on Culling Dais.
{1}, Sacrifice Culling Dais: Draw a card for each charge counter on Culling Dais.""","0","0","0","USD","54dc8c2a-928d-465e-8f76-82a90cc66854","219626","4523855","","Anthony Palumbo","2xm"
"Deathreap Ritual","Deathreap Ritual","Double master 1/30/23","Double Masters","2XM","194","$0.49","$0.98","","2x","","","","U","Enchantment","4","{2}{B}{G}","Black/Green","""• If a creature didn't die before a turn's end step begins, Deathreap Ritual's ability doesn't trigger at all. The creature may have died before Deathreap Ritual entered the battlefield, however.
• You draw one card when the ability resolves, not one card per creature that died during the turn.""","489867","""Morbid — At the beginning of each end step, if a creature died this turn, you may draw a card.""","0","0","0","USD","7ff6346a-5154-4c93-9a24-8b1936683517","219582","4521655","","Steve Argyle","2xm"
"Disciple of the Vault","Disciple of the Vault","Double master 1/30/23","Double Masters","2XM","86","$1.24","$1.24","","1x","","","","U","Creature — Human Cleric","1","{B}","Black","""• If an artifact is put into a graveyard at the same time as Disciple of the Vault, its ability triggers for that artifact.""","489759","""Whenever an artifact is put into a graveyard from the battlefield, you may have target opponent lose 1 life.""","1","1","0","USD","4c539843-4e3f-47a7-92e1-412eaaa2d9c5","218719","4507793","","Matt Thompson","2xm"
