Name,Name,List name,Edition,Edition code,Collector's number,Price,Price (total),Foil,QuantityX,Tag,Language,Condition,Rarity,Card Type,CMC,Mana Value,Color,Card Rulings,MultiverseID,Card Text,Power,Toughness,Loyalty,Currency,Scryfall ID,TCGPlayer productID,TCGPlayer Sku,Is Commander?,Artists,Edition code MTGO
"Abzan Battle Priest","Abzan Battle Priest","Iconic masters 2/12/23","Iconic Masters","IMA","2","$0.40","$0.80","","2x","","","","U","Creature — Human Cleric","4","{3}{W}","White","""• The cost to activate a creature’s outlast ability includes the tap symbol ({T}). A creature’s outlast ability can’t be activated unless that creature has been under your control continuously since the beginning of your turn.
• Several creatures with outlast also grant an ability to creatures you control with +1/+1 counters on them, including themselves. These counters could come from an outlast ability, but any +1/+1 counter on the creature will count.""","438568","""Outlast {W} ({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)
Each creature you control with a +1/+1 counter on it has lifelink.""","3","2","0","USD","3f2877ac-195b-4397-89bd-0bee3220b2a4","145351","3467022","","Chris Rahn","ima"
"Abzan Falconer","Abzan Falconer","Iconic masters 2/12/23","Iconic Masters","IMA","3","$0.25","$0.75","","3x","","","","U","Creature — Human Soldier","3","{2}{W}","White","""• The cost to activate a creature's outlast ability includes the tap symbol ({T}). A creature's outlast ability can't be activated unless that creature has been under your control continuously since the beginning of your turn.
• Several creatures with outlast also grant an ability to creatures you control with +1/+1 counters on them, including themselves. These counters could come from an outlast ability, but any +1/+1 counter on the creature will count.""","438569","""Outlast {W} ({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)
Each creature you control with a +1/+1 counter on it has flying.""","2","3","0","USD","9c06621d-a0c9-4c84-8b1a-cb0abd8390c4","145352","3467032","","Steven Belledin","ima"
"Aetherize","Aetherize","Iconic masters 2/12/23","Iconic Masters","IMA","40","$0.76","$1.52","","2x","","","","U","Instant","4","{3}{U}","Blue","""• An “attacking creature” is one that has been declared as an attacker this combat, or one that was put onto the battlefield attacking this combat. Unless that creature leaves combat, it continues to be an attacking creature through the end of combat step, even if the player it was attacking has left the game, or the planeswalker it was attacking has left combat. There's no such thing as an attacking creature outside of the combat phase.""","438606","""Return all attacking creatures to their owner's hand.""","0","0","0","USD","5a8dc68c-da77-4ba4-a0a0-d00b93904932","145398","3467492","","Ryan Barger","ima"
"Ajani's Pridemate","Ajani's Pridemate","Iconic masters 2/12/23","Iconic Masters","IMA","5","$0.34","$0.68","","2x","","","","U","Creature — Cat Soldier","2","{1}{W}","White","""• The ability of Ajani’s Pridemate triggers just once for each life-gaining event, whether it’s 1 life from Paradise Plume or 2 life from Mycologist.
• If Ajani’s Pridemate is dealt lethal damage at the same time that you gain life, it won’t receive a counter from its ability in time to save it.
• Each creature with lifelink dealing combat damage causes a separate life-gaining event. For example, if two creatures you control with lifelink deal combat damage at the same time, Ajani’s Pridemate’s ability will trigger twice. However, if a single creature you control with lifelink deals combat damage to multiple creatures, players, and/or planeswalkers at the same time (perhaps because it has trample or was blocked by more than one creature), the ability will trigger only once.
• If you gain an amount of life “for each” of something, that life is gained as one event and the ability of Ajani’s Pridemate triggers only once.
• In a Two-Headed Giant game, life gained by your teammate won’t cause the ability to trigger, even though it caused your team’s life total to increase.""","438571","""Whenever you gain life, put a +1/+1 counter on Ajani's Pridemate.""","2","2","0","USD","296d0c32-1b7d-4c91-8675-2543c97a3753","145354","3467052","","Svetlin Velinov","ima"
"Angelic Accord","Angelic Accord","Iconic masters 2/12/23","Iconic Masters","IMA","7","$1.01","$2.02","","2x","","","","U","Enchantment","4","{3}{W}","White","""• Angelic Accord’s ability checks how much life you’ve gained during the turn, not what your life total is compared to what it was when the turn began. For example, if you start the turn at 10 life, gain 6 life during the turn, then lose 6 life later that turn, the ability will trigger.
• If you haven’t gained 4 or more life during the turn when the end step begins, the ability won’t trigger at all. Gaining life during the end step won’t cause the ability to trigger.
• In a Two-Headed Giant game, life gained by your teammate isn’t considered, even though it causes your team’s life total to increase.""","438573","""At the beginning of each end step, if you gained 4 or more life this turn, create a 4/4 white Angel creature token with flying.""","0","0","0","USD","349e8190-15fd-44ed-a821-9a5f3615d2d9","145356","3467072","","Michael C. Hayes","ima"
"Assault Formation","Assault Formation","Iconic masters 2/12/23","Iconic Masters","IMA","155","$1.00","$2.00","","2x","","","","U","Enchantment","2","{1}{G}","Green","""• For example, a 2/3 creature will assign 3 combat damage rather than 2.
• Assault Formation’s first ability doesn’t actually change any creature’s power. It changes only the amount of combat damage it assigns. All other rules and effects that check power or toughness use the real values. For example, Hunt the Weak won’t cause a creature to fight with its toughness.""","438721","""Each creature you control assigns combat damage equal to its toughness rather than its power.
{G}: Target creature with defender can attack this turn as though it didn't have defender.
{2}{G}: Creatures you control get +0/+1 until end of turn.""","0","0","0","USD","cb72a45f-16e9-4040-acf1-927133ba198e","145278","3466307","","Kieran Yanner","ima"
"Azorius Charm","Azorius Charm","Iconic masters 2/12/23","Iconic Masters","IMA","192","$0.35","$0.70","","2x","","","","U","Instant","2","{W}{U}","White/Blue","""• Multiple instances of lifelink on the same creature are redundant.""","438758","""Choose one —
• Creatures you control gain lifelink until end of turn.
• Draw a card.
• Put target attacking or blocking creature on top of its owner's library.""","0","0","0","USD","9740ceaf-4ef9-48dd-ab7d-cd5eb3be8cec","145459","3468102","","Zoltan Boros","ima"
"Azorius Charm","Azorius Charm","Iconic masters 2/12/23","Iconic Masters","IMA","192","$0.89","$0.89","Foil","1x","","","","U","Instant","2","{W}{U}","White/Blue","""• Multiple instances of lifelink on the same creature are redundant.""","438758","""Choose one —
• Creatures you control gain lifelink until end of turn.
• Draw a card.
• Put target attacking or blocking creature on top of its owner's library.""","0","0","0","USD","9740ceaf-4ef9-48dd-ab7d-cd5eb3be8cec","145459","3468107","","Zoltan Boros","ima"
"Bladewing the Risen","Bladewing the Risen","Iconic masters 2/12/23","Iconic Masters","IMA","193","$1.34","$2.68","","2x","","","","U","Legendary Creature — Zombie Dragon","7","{3}{B}{B}{R}{R}","Black/Red","""""","438759","""Flying
When Bladewing the Risen enters the battlefield, you may return target Dragon permanent card from your graveyard to the battlefield.
{B}{R}: Dragon creatures get +1/+1 until end of turn.""","4","4","0","USD","27ce43cb-44f4-4d94-8700-d9f3cc043989","145335","3466877","","Seb McKinnon","ima"
"Bladewing the Risen","Bladewing the Risen","Iconic masters 2/12/23","Iconic Masters","IMA","193","$5.67","$5.67","Foil","1x","","","","U","Legendary Creature — Zombie Dragon","7","{3}{B}{B}{R}{R}","Black/Red","""""","438759","""Flying
When Bladewing the Risen enters the battlefield, you may return target Dragon permanent card from your graveyard to the battlefield.
{B}{R}: Dragon creatures get +1/+1 until end of turn.""","4","4","0","USD","27ce43cb-44f4-4d94-8700-d9f3cc043989","145335","3466882","","Seb McKinnon","ima"
