Name,Name,List name,Edition,Edition code,Collector's number,Price,Price (total),Foil,QuantityX,Tag,Language,Condition,Rarity,Card Type,CMC,Mana Value,Color,Card Rulings,MultiverseID,Card Text,Power,Toughness,Loyalty,Currency,Scryfall ID,TCGPlayer productID,TCGPlayer Sku,Is Commander?,Artists,Edition code MTGO
"Kaya, Geist Hunter","Kaya, Geist Hunter","Innstrad crimson vow","Innistrad: Crimson Vow","VOW","240","$2.75","$2.75","","1x","","","","M","Legendary Planeswalker — Kaya","3","{1}{W}{B}","White/Black","""• The tokens that Kaya's second ability creates are exact copies of the tokens that were being created in the first place.""","541114","""+1: Creatures you control gain deathtouch until end of turn. Put a +1/+1 counter on up to one target creature token you control.
−2: Until end of turn, if one or more tokens would be created under your control, twice that many of those tokens are created instead.
−6: Exile all cards from all graveyards, then create a 1/1 white Spirit creature token with flying for each card exiled this way.""","0","0","3","USD","a98a208c-ee2b-4672-a43b-f4a708585b1a","253741","5286723","","Ryan Pancoast","vow"
"Necroduality","Necroduality","Innstrad crimson vow","Innistrad: Crimson Vow","VOW","70","$10.61","$10.61","","1x","","","","M","Enchantment","4","{3}{U}","Blue","""""","540913","""Whenever a nontoken Zombie enters the battlefield under your control, create a token that's a copy of that creature.""","0","0","0","USD","9b674053-1f0f-436d-b106-f91f41cf3959","253057","5260725","","Billy Christian","vow"
"Sorin the Mirthless","Sorin the Mirthless","Innstrad crimson vow","Innistrad: Crimson Vow","VOW","131","$4.50","$4.50","","1x","","","","M","Legendary Planeswalker — Sorin","4","{2}{B}{B}","Black","""• If you choose not to reveal the card you looked at with Sorin's first loyalty ability, it stays on top of your library.""","540983","""+1: Look at the top card of your library. You may reveal that card and put it into your hand. If you do, you lose life equal to its mana value.
−2: Create a 2/3 black Vampire creature token with flying and lifelink.
−7: Sorin the Mirthless deals 13 damage to any target. You gain 13 life.""","0","0","4","USD","cc7ff5f4-a7cc-41a1-a22b-8cf67ad18707","252850","5249921","","Martina Fačková","vow"
"Toxrill, the Corrosive","Toxrill, the Corrosive","Innstrad crimson vow","Innistrad: Crimson Vow","VOW","321","$12.72","$12.72","","1x","","","","M","Legendary Creature — Slug Horror","7","{5}{B}{B}","Black","""• Toxrill. the Corrosive's second and third abilities apply to all creatures you don't control with slime counters, even if those slime counters came from a source other than Toxrill's first ability.
• Toxrill's third ability triggers when a creature an opponent controls with a slime counter on it dies for any reason, not just due to its toughness being decreased by Toxrill's second ability.
• Another card, Sludge Monster, causes non-Horror creatures with slime counters on them to lose all abilities and have base power and toughness 2/2. If you control both Toxrill and Sludge Monster, those non-Horror creatures are 2/2 creatures with no abilities that also get -1/-1 for each slime counter.""","545043","""At the beginning of each end step, put a slime counter on each creature you don't control.
Creatures you don't control get -1/-1 for each slime counter on them.
Whenever a creature you don't control with a slime counter on it dies, create a 1/1 black Slug creature token.
{U}{B}, Sacrifice a Slug: Draw a card.""","7","7","0","USD","78808d46-a3a7-4598-bddf-a302977808fb","253048","5259945","","DZO","vow"
"Volatile Arsonist // Dire-Strain Anarchist","Volatile Arsonist // Dire-Strain Anarchist","Innstrad crimson vow","Innistrad: Crimson Vow","VOW","181","$0.99","$0.99","","1x","","","","M","Creature — Human Werewolf","5","{3}{R}{R}","Red","""""","541039","""Menace, haste
Whenever Volatile Arsonist attacks, it deals 1 damage to each of up to one target creature, up to one target player, and/or up to one target planeswalker.
Daybound (If a player casts no spells during their own turn, it becomes night next turn.)""","4","4","0","USD","87a02ac1-c43a-43cc-9c2b-628cfdeb4cbf","252947","5254554","","Gabor Szikszai","vow"
"Change of Fortune","Change of Fortune","Innstrad crimson vow","Innistrad: Crimson Vow","VOW","150","$0.47","$0.47","","1x","","","","R","Sorcery","4","{3}{R}","Red","""• Change of Fortune counts cards you discarded this turn for any reason, not just cards you discarded as part of the resolution of this effect.""","541005","""Discard your hand, then draw a card for each card you've discarded this turn.""","0","0","0","USD","63ca5ce5-94e7-43a1-8f2b-f0a4532f617a","252945","5254404","","Sam Guay","vow"
"Concealing Curtains // Revealing Eye","Concealing Curtains // Revealing Eye","Innstrad crimson vow","Innistrad: Crimson Vow","VOW","101","$0.36","$0.36","","1x","","","","R","Creature — Wall","1","{B}","Black","""""","540947","""Defender
{2}{B}: Transform Concealing Curtains. Activate only as a sorcery.""","0","4","0","USD","612b2e6e-fe8d-49ad-b845-6fa7fa59ffd1","253083","5262120","","Brian Valeza","vow"
"Consuming Tide","Consuming Tide","Innstrad crimson vow","Innistrad: Crimson Vow","VOW","53","$0.49","$0.49","","1x","","","","R","Sorcery","4","{2}{U}{U}","Blue","""• Starting with the player whose turn it is, each player chooses a nonland permanent they control. Players get to know what permanents have been chose by players that chose before them as they make their choice. Then all nonland permanents that weren't chosen by any player are returned to their owners' hands at the same time.""","540891","""Each player chooses a nonland permanent they control. Return all nonland permanents not chosen this way to their owners' hands. Then you draw a card for each opponent who has more cards in their hand than you.""","0","0","0","USD","5865f0f1-28a6-49ac-b61e-135845075d1f","253134","5263120","","Viko Menezes","vow"
"Deathcap Glade","Deathcap Glade","Innstrad crimson vow","Innistrad: Crimson Vow","VOW","261","$7.50","$7.50","","1x","","","","R","Land","0","","Land","""""","541137","""Deathcap Glade enters the battlefield tapped unless you control two or more other lands.
{T}: Add {B} or {G}.""","0","0","0","USD","d5523659-98a8-4ae2-9ec7-d77e7352c374","252856","5250581","","Sam Burley","vow"
"Demonic Bargain","Demonic Bargain","Innstrad crimson vow","Innistrad: Crimson Vow","VOW","103","$0.35","$0.35","","1x","","","","R","Sorcery","3","{2}{B}","Black","""• The thirteen cards remain in exile. That's part of the bargain.
• If there are any cards left in your library as you search, you must choose one of them.
• You do not have to reveal the card you find. That's not part of the bargain.
• If there are thirteen or fewer cards remaining in your library as this spell begins to resolve, you will exile your entire library. You won't put any cards into your hand.""","540950","""Exile the top thirteen cards of your library, then search your library for a card. Put that card into your hand, then shuffle.""","0","0","0","USD","80c3741e-cf04-4aa2-a6a9-ce19f043b22c","252887","5252199","","Sam Guay","vow"
