Name,Name,List name,Edition,Edition code,Collector's number,Price,Price (total),Foil,QuantityX,Tag,Language,Condition,Rarity,Card Type,CMC,Mana Value,Color,Card Rulings,MultiverseID,Card Text,Power,Toughness,Loyalty,Currency,Scryfall ID,TCGPlayer productID,TCGPlayer Sku,Is Commander?,Artists,Edition code MTGO
"Arcane Infusion","Arcane Infusion","Midnight hunt 1/30/23","Innistrad: Midnight Hunt","MID","210","$0.21","$0.21","","1x","","","","U","Instant","2","{U}{R}","Blue/Red","""• “Flashback [cost]” means “You may cast this card from your graveyard by paying [cost] rather than paying its mana cost” and “If the flashback cost was paid, exile this card instead of putting it anywhere else any time it would leave the stack.”
• You must still follow any timing restrictions and permissions, including those based on the card's type. For instance, you can cast a sorcery using flashback only when you could normally cast a sorcery.
• To determine the total cost of a spell, start with the mana cost or alternative cost (such as a flashback cost) you're paying, add any cost increases, then apply any cost reductions. The mana value of the spell is determined only by its mana cost, no matter what the total cost to cast the spell was.
• A spell cast using flashback will always be exiled afterward, whether it resolves, is countered, or leaves the stack in some other way.
• You can cast a spell using flashback even if it was somehow put into your graveyard without having been cast.
• If a card with flashback is put into your graveyard during your turn, you can cast it if it's legal to do so before any other player can take any actions.""","535001","""Look at the top four cards of your library. You may reveal an instant or sorcery card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.
Flashback {3}{U}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)""","0","0","0","USD","9ab520b7-ad87-4c8e-a454-5c022e378564","247914","5163607","","Jason Felix","mid"
"Baneblade Scoundrel // Baneclaw Marauder","Baneblade Scoundrel // Baneclaw Marauder","Midnight hunt 1/30/23","Innistrad: Midnight Hunt","MID","289","$0.20","$0.40","","2x","","","","U","Creature — Human Rogue Werewolf","4","{3}{B}","Black","""• If it is night, and the active player of the previous turn cast two or more spells during their turn, it becomes day.
• Abilities that trigger when a creature “becomes blocked” resolve before combat damage is dealt.
• Day and night are designations that the game itself can have. The game starts as neither. Once the game becomes day (or less commonly, night), the game will be exactly one of them—day or night—going back and forth for the rest of the game.
• Before a player untaps their permanents during the untap step, the game checks to see if the day/night designation should change.
• If it is day, and the active player of the previous turn cast no spells during their turn, it becomes night.
• For more information about Day and Night and the Daybound and Nightbound abilities, please see the Innistrad: Midnight Hunt Mechanics atricle (https://magic.wizards.com/en/articles/archive/feature/innistrad-midnight-hunt-mechanics-2021-09-02).
• Double-faced permanents with daybound transform to their nightbound faces as it becomes night. Similarly, double-faced permanents with nightbound transform to their daybound faces as it becomes day. This happens immediately and is not a state-based action. It happens any time it becomes day or night, not just during the untap step.
• If you cast a spell with daybound during night, that spell will be front face up (that is, daybound face up) on the stack. However, it will enter the battlefield with its back face up (that is, with its nightbound face up). It won't enter with its daybound face up and then transform.
• If it is night, permanents with daybound that enter the battlefield without being cast will enter with their nightbound faces up.
• Permanents with daybound and nightbound can't transform via any means other than their daybound and nightbound abilities. Notably, older cards such as Moonmist that instruct a player to transform permanents don't affect permanents with daybound or nightbound.
• If it's neither day nor night, and a creature with daybound and a creature with nightbound somehow appear on the battlefield at the same time, it becomes day. The creature with nightbound will transform.""","0","""Whenever Baneblade Scoundrel becomes blocked, each creature blocking it gets -1/-1 until end of turn.
Daybound (If a player casts no spells during their own turn, it becomes night next turn.)""","4","3","0","USD","5b13fbff-8b72-459a-ac72-3429be6e192d","247949","5165088","","Andrea De Dominicis","mid"
"Baneblade Scoundrel // Baneclaw Marauder","Baneblade Scoundrel // Baneclaw Marauder","Midnight hunt 1/30/23","Innistrad: Midnight Hunt","MID","85","$0.20","$0.20","","1x","","","","U","Creature — Human Rogue Werewolf","4","{3}{B}","Black","""• If it is night, and the active player of the previous turn cast two or more spells during their turn, it becomes day.
• Abilities that trigger when a creature “becomes blocked” resolve before combat damage is dealt.
• Day and night are designations that the game itself can have. The game starts as neither. Once the game becomes day (or less commonly, night), the game will be exactly one of them—day or night—going back and forth for the rest of the game.
• Before a player untaps their permanents during the untap step, the game checks to see if the day/night designation should change.
• If it is day, and the active player of the previous turn cast no spells during their turn, it becomes night.
• For more information about Day and Night and the Daybound and Nightbound abilities, please see the Innistrad: Midnight Hunt Mechanics atricle (https://magic.wizards.com/en/articles/archive/feature/innistrad-midnight-hunt-mechanics-2021-09-02).
• Double-faced permanents with daybound transform to their nightbound faces as it becomes night. Similarly, double-faced permanents with nightbound transform to their daybound faces as it becomes day. This happens immediately and is not a state-based action. It happens any time it becomes day or night, not just during the untap step.
• If you cast a spell with daybound during night, that spell will be front face up (that is, daybound face up) on the stack. However, it will enter the battlefield with its back face up (that is, with its nightbound face up). It won't enter with its daybound face up and then transform.
• If it is night, permanents with daybound that enter the battlefield without being cast will enter with their nightbound faces up.
• Permanents with daybound and nightbound can't transform via any means other than their daybound and nightbound abilities. Notably, older cards such as Moonmist that instruct a player to transform permanents don't affect permanents with daybound or nightbound.
• If it's neither day nor night, and a creature with daybound and a creature with nightbound somehow appear on the battlefield at the same time, it becomes day. The creature with nightbound will transform.""","534852","""Whenever Baneblade Scoundrel becomes blocked, each creature blocking it gets -1/-1 until end of turn.
Daybound (If a player casts no spells during their own turn, it becomes night next turn.)""","4","3","0","USD","7b63f2ae-5bfd-452f-b1f5-8459bcecd3bb","247913","5163497","","Marta Nael","mid"
"Bladestitched Skaab","Bladestitched Skaab","Midnight hunt 1/30/23","Innistrad: Midnight Hunt","MID","212","$0.25","$0.25","","1x","","","","U","Creature — Zombie Soldier","2","{U}{B}","Blue/Black","""""","535004","""Other Zombies you control get +1/+0.""","2","3","0","USD","b8a73f77-aab5-47e3-bfc1-97f6374f40fc","247905","5162617","","Dave Kendall","mid"
"Bloodtithe Collector","Bloodtithe Collector","Midnight hunt 1/30/23","Innistrad: Midnight Hunt","MID","90","$0.20","$0.20","","1x","","","","U","Creature — Vampire Noble","5","{4}{B}","Black","""• Bloodtithe Collector's triggered ability cares whether an opponent lost life this turn, not how their life total changed. For example, an opponent who gained 2 life and lost 1 life in the same turn still lost life.""","534858","""Flying
When Bloodtithe Collector enters the battlefield, if an opponent lost life this turn, each opponent discards a card.""","3","4","0","USD","57d5e536-7774-4949-8127-727ae4d8fc80","248310","5189957","","Maria Zolotukhina","mid"
"Brood Weaver","Brood Weaver","Midnight hunt 1/30/23","Innistrad: Midnight Hunt","MID","173","$0.25","$0.25","","1x","","","","U","Creature — Spider","4","{3}{G}","Green","""""","534958","""Reach
When Brood Weaver dies, create a 1/2 green Spider creature token with reach.""","2","4","0","USD","e24e2f49-70f9-445f-af03-2ef43798004a","248145","5177565","","Slawomir Maniak","mid"
"Burly Breaker // Dire-Strain Demolisher","Burly Breaker // Dire-Strain Demolisher","Midnight hunt 1/30/23","Innistrad: Midnight Hunt","MID","174","$0.25","$0.50","","2x","","","","U","Creature — Human Werewolf","5","{3}{G}{G}","Green","""• Day and night are designations that the game itself can have. The game starts as neither. Once the game becomes day (or less commonly, night), the game will be exactly one of them—day or night—going back and forth for the rest of the game.
• Before a player untaps their permanents during the untap step, the game checks to see if the day/night designation should change.
• If it is day, and the active player of the previous turn cast no spells during their turn, it becomes night.
• If it is night, and the active player of the previous turn cast two or more spells during their turn, it becomes day.
• For more information about Day and Night and the Daybound and Nightbound abilities, please see the Innistrad: Midnight Hunt Mechanics atricle (https://magic.wizards.com/en/articles/archive/feature/innistrad-midnight-hunt-mechanics-2021-09-02).
• Double-faced permanents with daybound transform to their nightbound faces as it becomes night. Similarly, double-faced permanents with nightbound transform to their daybound faces as it becomes day. This happens immediately and is not a state-based action. It happens any time it becomes day or night, not just during the untap step.
• If you cast a spell with daybound during night, that spell will be front face up (that is, daybound face up) on the stack. However, it will enter the battlefield with its back face up (that is, with its nightbound face up). It won't enter with its daybound face up and then transform.
• If it is night, permanents with daybound that enter the battlefield without being cast will enter with their nightbound faces up.
• Permanents with daybound and nightbound can't transform via any means other than their daybound and nightbound abilities. Notably, older cards such as Moonmist that instruct a player to transform permanents don't affect permanents with daybound or nightbound.
• If it's neither day nor night, and a creature with daybound and a creature with nightbound somehow appear on the battlefield at the same time, it becomes day. The creature with nightbound will transform.""","534959","""Ward {1} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)
Daybound (If a player casts no spells during their own turn, it becomes night next turn.)""","6","5","0","USD","3849ad37-f80d-4ffc-9240-25a63326b3dd","247998","5168571","","Justine Cruz","mid"
"Burly Breaker // Dire-Strain Demolisher","Burly Breaker // Dire-Strain Demolisher","Midnight hunt 1/30/23","Innistrad: Midnight Hunt","MID","299","$0.20","$0.40","","2x","","","","U","Creature — Human Werewolf","5","{3}{G}{G}","Green","""• Day and night are designations that the game itself can have. The game starts as neither. Once the game becomes day (or less commonly, night), the game will be exactly one of them—day or night—going back and forth for the rest of the game.
• Before a player untaps their permanents during the untap step, the game checks to see if the day/night designation should change.
• If it is day, and the active player of the previous turn cast no spells during their turn, it becomes night.
• If it is night, and the active player of the previous turn cast two or more spells during their turn, it becomes day.
• For more information about Day and Night and the Daybound and Nightbound abilities, please see the Innistrad: Midnight Hunt Mechanics atricle (https://magic.wizards.com/en/articles/archive/feature/innistrad-midnight-hunt-mechanics-2021-09-02).
• Double-faced permanents with daybound transform to their nightbound faces as it becomes night. Similarly, double-faced permanents with nightbound transform to their daybound faces as it becomes day. This happens immediately and is not a state-based action. It happens any time it becomes day or night, not just during the untap step.
• If you cast a spell with daybound during night, that spell will be front face up (that is, daybound face up) on the stack. However, it will enter the battlefield with its back face up (that is, with its nightbound face up). It won't enter with its daybound face up and then transform.
• If it is night, permanents with daybound that enter the battlefield without being cast will enter with their nightbound faces up.
• Permanents with daybound and nightbound can't transform via any means other than their daybound and nightbound abilities. Notably, older cards such as Moonmist that instruct a player to transform permanents don't affect permanents with daybound or nightbound.
• If it's neither day nor night, and a creature with daybound and a creature with nightbound somehow appear on the battlefield at the same time, it becomes day. The creature with nightbound will transform.""","0","""Ward {1} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)
Daybound (If a player casts no spells during their own turn, it becomes night next turn.)""","6","5","0","USD","1b50c98e-6c3b-4129-ae93-10c0bf9270fc","247999","5168681","","Sami Makkonen","mid"
"Cathartic Pyre","Cathartic Pyre","Midnight hunt 1/30/23","Innistrad: Midnight Hunt","MID","133","$0.33","$0.33","","1x","","","","U","Instant","2","{1}{R}","Red","""""","534909","""Choose one —
• Cathartic Pyre deals 3 damage to target creature or planeswalker.
• Discard up to two cards, then draw that many cards.""","0","0","0","USD","b045c28a-39f9-4cd9-8f3a-a626b697f409","248209","5181322","","Ryan Yee","mid"
"Clear Shot","Clear Shot","Midnight hunt 1/30/23","Innistrad: Midnight Hunt","MID","176","$0.20","$0.20","","1x","","","","U","Instant","3","{2}{G}","Green","""• You can't cast Clear Shot unless you choose a creature you control and a creature you don't control as targets.
• As Clear Shot tries to resolve, if either creature is an illegal target, the creature you control won't deal damage. If the creature you control is a legal target but the other creature isn't, your creature will still get +1/+1.""","534962","""Target creature you control gets +1/+1 until end of turn. It deals damage equal to its power to target creature you don't control.""","0","0","0","USD","27476d9c-006d-4227-a5f2-49c7234b84a1","247876","5161937","","Craig J Spearing","mid"
