Name,Name,List name,Edition,Edition code,Collector's number,Price,Price (total),Foil,QuantityX,Tag,Language,Condition,Rarity,Card Type,CMC,Mana Value,Color,Card Rulings,MultiverseID,Card Text,Power,Toughness,Loyalty,Currency,Scryfall ID,TCGPlayer productID,TCGPlayer Sku,Is Commander?,Artists,Edition code MTGO
"Bloodthirsty Adversary","Bloodthirsty Adversary","Midnight hunt","Innistrad: Midnight Hunt","MID","129","$3.70","$3.70","","1x","","","","M","Creature — Vampire","2","{1}{R}","Red","""• After you pay the {2}{R} cost one or more times, a second ability triggers and you choose the targets for it. Players may respond to the new ability at that point. As that ability resolves, Bloodthirsty Adversary gets its counters and the target cards are exiled.
• Whether or not you cast the copies this way, the original cards will remain in exile.
• Copies cast this way are cast during the resolution of the ability. You don't have to follow normal timing requirements and you can't wait and cast them later.""","534905","""Haste
When Bloodthirsty Adversary enters the battlefield, you may pay {2}{R} any number of times. When you pay this cost one or more times, put that many +1/+1 counters on Bloodthirsty Adversary, then exile up to that many target instant and/or sorcery cards with mana value 3 or less from your graveyard and copy them. You may cast any number of the copies without paying their mana costs.""","2","2","0","USD","ed557e51-32bd-476f-99f8-d7b1738495c5","248077","5172364","","Heonhwa Choe","mid"
"Entreat the Angels","Entreat the Angels","Midnight hunt","The List","PLIST","17","$2.13","$2.13","","1x","","","","M","Sorcery","3","{X}{X}{W}{W}{W}","White","""• You still draw the card, whether you use the miracle ability or not. Any ability that triggers whenever you draw a card, for example, will trigger. If you don’t cast the card using its miracle ability, it will remain in your hand.
• If the card with miracle leaves your hand before the triggered ability resolves, you won’t be able to cast it using its miracle ability.
• You can reveal and cast a card with miracle on any turn, not just your own, if it’s the first card you’ve drawn that turn.
• It’s important to reveal a card with miracle before it is mixed with the other cards in your hand.
• Multiple card draws are always treated as a sequence of individual card draws. For example, if you haven’t drawn any cards yet during a turn and cast a spell that instructs you to draw three cards, you’ll draw them one at a time. Only the first card drawn this way may be revealed and cast using its miracle ability.
• If an effect puts a card into your hand without using the word “draw,” the card wasn’t drawn.
• You don’t have to reveal a drawn card with miracle if you don’t wish to cast it at that time.
• You can cast a card for its miracle cost only as the miracle triggered ability resolves. If you don’t want to cast it at that time (or you can’t cast it, perhaps because there are no legal targets available), you won’t be able to cast it later for the miracle cost.
• You cast the card with miracle during the resolution of the triggered ability. Ignore any timing rules based on the card’s type.
• Miracle is an alternative cost to cast the spell with miracle. It can’t be combined with other alternative costs, such as casting a spell “without paying its mana cost.”
• To determine the total cost of a spell, start with the mana cost or alternative cost (such as a miracle cost) you’re paying, add any cost increases, then apply any cost reductions. The converted mana cost of the spell remains unchanged, no matter what the total cost to cast it was.
• A mana cost of {X}{X} means that you pay twice X. If you want X to be 3, you pay {6}{W}{W}{W} to cast Entreat the Angels.
• Entreat the Angels’s converted mana cost is based on its mana cost of {X}{X}{W}{W}{W}, even if you’re casting it for its miracle cost. For example, if you cast Entreat the Angels for its miracle cost and choose 4 for X, its converted mana cost is 11.""","0","""Create X 4/4 white Angel creature tokens with flying.
Miracle {X}{W}{W} (You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)""","0","0","0","USD","0659529d-1328-47de-9910-cce5b744aedf","222523","4583255","","Todd Lockwood","plist"
"Kyler, Sigardian Emissary","Kyler, Sigardian Emissary","Midnight hunt","Midnight Hunt Commander","MIC","4","$0.63","$0.63","","1x","","","","M","Legendary Creature — Human Cleric","5","{3}{G}{W}","White/Green","""• If Kyler enters the battlefield at the same time as other Humans you control, Kyler's first ability will trigger once for each of those Humans.
• Kyler's second ability counts all counters, not just +1/+1 counters.""","540709","""Whenever another Human enters the battlefield under your control, put a +1/+1 counter on Kyler, Sigardian Emissary.
Other Humans you control get +1/+1 for each counter on Kyler.""","2","2","0","USD","62a78aae-598e-4f2b-a7bc-c3afc1d0d191","248579","5203561","","Dmitry Burmak","mic"
"Tainted Adversary","Tainted Adversary","Midnight hunt","Innistrad: Midnight Hunt","MID","124","$1.91","$1.91","","1x","","","","M","Creature — Zombie","2","{1}{B}","Black","""• After you pay the {2}{B} cost one or more times, a second ability triggers. Players may respond to the new ability at that point. As that ability resolves, Tainted Adversary gets its counters and the tokens are created.
• Decayed represents a static ability and a triggered ability. “Decayed” means “This creature can't block” and “When this creature attacks, sacrifice it at end of combat.”
• Decayed does not create any attacking requirements. You may choose not to attack with a creature that has decayed.
• Decayed does not grant haste. Creatures with decayed that enter the battlefield during your turn may not attack until your next turn.
• Once a creature with decayed attacks, it will be sacrificed at end of combat, even if it no longer has decayed at that time.""","534899","""Deathtouch
When Tainted Adversary enters the battlefield, you may pay {2}{B} any number of times. When you pay this cost one or more times, put that many +1/+1 counters on Tainted Adversary, then create twice that many 2/2 black Zombie creature tokens with decayed. (A creature with decayed can't block. When it attacks, sacrifice it at end of combat.)""","2","3","0","USD","e6b9b8fc-c30d-49e7-bb6c-219380d73a82","247996","5168421","","Tuan Duong Chu","mid"
"Angelfire Ignition","Angelfire Ignition","Midnight hunt","Innistrad: Midnight Hunt","MID","209","$0.54","$0.54","Foil","1x","","","","R","Sorcery","3","{1}{R}{W}","White/Red","""• “Flashback [cost]” means “You may cast this card from your graveyard by paying [cost] rather than paying its mana cost” and “If the flashback cost was paid, exile this card instead of putting it anywhere else any time it would leave the stack.”
• You must still follow any timing restrictions and permissions, including those based on the card's type. For instance, you can cast a sorcery using flashback only when you could normally cast a sorcery.
• To determine the total cost of a spell, start with the mana cost or alternative cost (such as a flashback cost) you're paying, add any cost increases, then apply any cost reductions. The mana value of the spell is determined only by its mana cost, no matter what the total cost to cast the spell was.
• A spell cast using flashback will always be exiled afterward, whether it resolves, is countered, or leaves the stack in some other way.
• You can cast a spell using flashback even if it was somehow put into your graveyard without having been cast.
• If a card with flashback is put into your graveyard during your turn, you can cast it if it's legal to do so before any other player can take any actions.""","535000","""Put two +1/+1 counters on target creature. It gains vigilance, trample, lifelink, indestructible, and haste until end of turn.
Flashback {2}{R}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)""","0","0","0","USD","8ba4c7a2-6243-43ed-8c1c-e3edee43a583","248206","5181176","","Yeong-Hao Han","mid"
"Bloodline Culling","Bloodline Culling","Midnight hunt","Innistrad: Midnight Hunt","MID","89","$0.30","$0.30","","1x","","","","R","Instant","3","{1}{B}{B}","Black","""""","534857","""Choose one —
• Target creature gets -5/-5 until end of turn.
• Creature tokens get -2/-2 until end of turn.""","0","0","0","USD","fac827f7-a587-4adf-8408-2d9ccd9c1343","248308","5189737","","Liiga Smilshkalne","mid"
"Brutal Cathar // Moonrage Brute","Brutal Cathar // Moonrage Brute","Midnight hunt","Innistrad: Midnight Hunt","MID","7","$3.48","$3.48","","1x","","","","R","Creature — Human Soldier Werewolf","3","{2}{W}","White","""• Brutal Cathar's ability creates two one-shot effects: one that exiles the creature when the ability resolves, and another that returns the exiled card to the battlefield immediately after Brutal Cathar (or Moonrage Brute) leaves the battlefield.
• If Brutal Cathar leaves the battlefield before its enters-the-battlefield/transforms-into ability resolves, the target creature won't be exiled.
• A transforming permanent doesn't leave the battlefield as it transforms. If Brutal Cathar transforms into Moonrage Brute, the exiled cards remain exiled. If it transforms with its triggered ability on the stack, that ability will still exile the target creature.
• Auras attached to the exiled creature will be put into their owners' graveyards. Equipment attached to the exiled creature will become unattached and remain on the battlefield. Any counters on the exiled creature will cease to exist.
• If a creature token is exiled, it ceases to exist. It won't be returned to the battlefield.
• The exiled card returns to the battlefield immediately after this creature leaves the battlefield. Nothing happens between the two events, including state-based actions. The two creatures aren't on the battlefield at the same time. For example, if the returning creature is a Clone, it can't enter the battlefield as a copy of Brutal Cathar or Moonrage Brute.
• In a multiplayer game, if Brutal Cathar's owner leaves the game, the exiled card will return to the battlefield. Because the one-shot effect that returns the card isn't an ability that goes on the stack, it won't cease to exist along with the leaving player's spells and abilities on the stack.
• Day and night are designations that the game itself can have. The game starts as neither. Once the game becomes day (or less commonly, night), the game will be exactly one of them—day or night—going back and forth for the rest of the game.
• Before a player untaps their permanents during the untap step, the game checks to see if the day/night designation should change.
• If it is day, and the active player of the previous turn cast no spells during their turn, it becomes night.
• If it is night, and the active player of the previous turn cast two or more spells during their turn, it becomes day.
• For more information about Day and Night and the Daybound and Nightbound abilities, please see the Innistrad: Midnight Hunt Mechanics atricle (https://magic.wizards.com/en/articles/archive/feature/innistrad-midnight-hunt-mechanics-2021-09-02).
• Double-faced permanents with daybound transform to their nightbound faces as it becomes night. Similarly, double-faced permanents with nightbound transform to their daybound faces as it becomes day. This happens immediately and is not a state-based action. It happens any time it becomes day or night, not just during the untap step.
• If you cast a spell with daybound during night, that spell will be front face up (that is, daybound face up) on the stack. However, it will enter the battlefield with its back face up (that is, with its nightbound face up). It won't enter with its daybound face up and then transform.
• If it is night, permanents with daybound that enter the battlefield without being cast will enter with their nightbound faces up.
• Permanents with daybound and nightbound can't transform via any means other than their daybound and nightbound abilities. Notably, older cards such as Moonmist that instruct a player to transform permanents don't affect permanents with daybound or nightbound.
• If it's neither day nor night, and a creature with daybound and a creature with nightbound somehow appear on the battlefield at the same time, it becomes day. The creature with nightbound will transform.
• Moonrage Brute leaving the battlefield will also cause the exiled card to return to the battlefield.""","534760","""When this creature enters the battlefield or transforms into Brutal Cathar, exile target creature an opponent controls until this creature leaves the battlefield.
Daybound (If a player casts no spells during their own turn, it becomes night next turn.)""","2","2","0","USD","0dbac7ce-a6fa-466e-b6ba-173cf2dec98e","247839","5158796","","Karl Kopinski","mid"
"Burn Down the House","Burn Down the House","Midnight hunt","Innistrad: Midnight Hunt","MID","131","$0.75","$0.75","","1x","","","","R","Sorcery","5","{3}{R}{R}","Red","""""","534907","""Choose one —
• Burn Down the House deals 5 damage to each creature and each planeswalker.
• Create three 1/1 red Devil creature tokens with ""When this creature dies, it deals 1 damage to any target."" They gain haste until end of turn.""","0","0","0","USD","20ded7af-8086-465e-a980-3099217d324c","248215","5181772","","Campbell White","mid"
"Champion of the Perished","Champion of the Perished","Midnight hunt","Innistrad: Midnight Hunt","MID","91","$1.61","$1.61","","1x","","","","R","Creature — Zombie","1","{B}","Black","""""","534859","""Whenever another Zombie enters the battlefield under your control, put a +1/+1 counter on Champion of the Perished.""","1","1","0","USD","8d8e6941-ad6e-4d2f-93c0-be79e75bdf06","246013","5143141","","Kekai Kotaki","mid"
"Curse of Leeches // Leeching Lurker","Curse of Leeches // Leeching Lurker","Midnight hunt","Innistrad: Midnight Hunt","MID","94","$0.30","$0.30","","1x","","","","R","Enchantment — Aura Curse","3","{2}{B}","Black","""• Attaching Curse of Leeches as it transforms doesn't target a player, so it can be attached to a player with hexproof this way.
• After Curse of Leeches transforms into Leeching Lurker, it will become unattached from the player it's attached to as a state-based action.
• If you cast Curse of Leeches while it is night, you must still choose a target player, and that player must be a legal target as Curse of Leeches resolves. It enters the battlefield transformed and is not attached to that player.
• Day and night are designations that the game itself can have. The game starts as neither. Once the game becomes day (or less commonly, night), the game will be exactly one of them—day or night—going back and forth for the rest of the game.
• Before a player untaps their permanents during the untap step, the game checks to see if the day/night designation should change.
• If it is day, and the active player of the previous turn cast no spells during their turn, it becomes night.
• If it is night, and the active player of the previous turn cast two or more spells during their turn, it becomes day.
• For more information about Day and Night and the Daybound and Nightbound abilities, please see the Innistrad: Midnight Hunt Mechanics atricle (https://magic.wizards.com/en/articles/archive/feature/innistrad-midnight-hunt-mechanics-2021-09-02).
• Double-faced permanents with daybound transform to their nightbound faces as it becomes night. Similarly, double-faced permanents with nightbound transform to their daybound faces as it becomes day. This happens immediately and is not a state-based action. It happens any time it becomes day or night, not just during the untap step.
• If you cast a spell with daybound during night, that spell will be front face up (that is, daybound face up) on the stack. However, it will enter the battlefield with its back face up (that is, with its nightbound face up). It won't enter with its daybound face up and then transform.
• If it is night, permanents with daybound that enter the battlefield without being cast will enter with their nightbound faces up.
• Permanents with daybound and nightbound can't transform via any means other than their daybound and nightbound abilities. Notably, older cards such as Moonmist that instruct a player to transform permanents don't affect permanents with daybound or nightbound.
• If it's neither day nor night, and a creature with daybound and a creature with nightbound somehow appear on the battlefield at the same time, it becomes day. The creature with nightbound will transform.
• If Leeching Lurker is on the battlefield during night, and the active player casts two or more spells during the turn, it will become day as the next turn begins. This will cause Leeching Lurker to transform into Curse of Leeches and become attached to a player. This all happens before that turn's upkeep, so the triggered ability of Curse of Leeches will trigger at the beginning of that turn's upkeep.""","534863","""Enchant player
As this permanent transforms into Curse of Leeches, attach it to a player.
At the beginning of enchanted player's upkeep, they lose 1 life and you gain 1 life.
Daybound (If a player casts no spells during their own turn, it becomes night next turn.)""","0","0","0","USD","0a3c8532-92f5-41db-92b4-a871aa05e0c7","247912","5163387","","Uriah Voth","mid"
