Name,Name,List name,Edition,Edition code,Collector's number,Price,Price (total),Foil,QuantityX,Tag,Language,Condition,Rarity,Card Type,CMC,Mana Value,Color,Card Rulings,MultiverseID,Card Text,Power,Toughness,Loyalty,Currency,Scryfall ID,TCGPlayer productID,TCGPlayer Sku,Is Commander?,Artists,Edition code MTGO
"Power Conduit","Power Conduit","Mirrodin 1/31/23","Mirrodin","MRD","229","$4.43","$4.43","","1x","","","","U","Artifact","2","{2}","","""""","49047","""{T}, Remove a counter from a permanent you control: Choose one —
• Put a charge counter on target artifact.
• Put a +1/+1 counter on target creature.""","0","0","0","USD","b0f5c84f-1924-4a4a-84c1-00dcb756e9c9","11540","9487","","Todd Lockwood","mrd"
"Serum Tank","Serum Tank","Mirrodin 1/31/23","Mirrodin","MRD","240","$0.25","$0.25","","1x","","","","U","Artifact","3","{3}","","""""","46156","""Whenever Serum Tank or another artifact enters the battlefield, put a charge counter on Serum Tank.
{3}, {T}, Remove a charge counter from Serum Tank: Draw a card.""","0","0","0","USD","126ec055-1a7d-426b-a87f-c85c60aa7fc3","11550","9567","","Corey D. Macourek","mrd"
"Clockwork Beetle","Clockwork Beetle","Mirrodin 1/31/23","Mirrodin","MRD","153","$0.24","$0.24","","1x","","","","C","Artifact Creature — Insect","1","{1}","","""""","48119","""Clockwork Beetle enters the battlefield with two +1/+1 counters on it.
Whenever Clockwork Beetle attacks or blocks, remove a +1/+1 counter from it at end of combat.""","0","0","0","USD","bc3c8db7-cf58-4571-b4ad-2b68d73495b2","11468","8911","","Arnie Swekel","mrd"
"Elf Replica","Elf Replica","Mirrodin 1/31/23","Mirrodin","MRD","167","$0.20","$0.20","","1x","","","","C","Artifact Creature — Elf","3","{3}","","""""","46057","""{1}{G}, Sacrifice Elf Replica: Destroy target enchantment.""","2","2","0","USD","b92cce55-22ee-40a7-bb94-4889093f142c","11482","9023","","Carl Critchlow","mrd"
"Groffskithur","Groffskithur","Mirrodin 1/31/23","Mirrodin","MRD","121","$0.23","$0.23","","1x","","","","C","Creature — Beast","6","{5}{G}","Green","""""","48600","""Whenever Groffskithur becomes blocked, you may return target card named Groffskithur from your graveyard to your hand.""","3","3","0","USD","75e84098-c15c-40f4-9d8a-3fa5da26a268","11439","8679","","John Matson","mrd"
"Hematite Golem","Hematite Golem","Mirrodin 1/31/23","Mirrodin","MRD","185","$0.23","$0.23","","1x","","","","C","Artifact Creature — Golem","4","{4}","","""""","48055","""{1}{R}: Hematite Golem gets +2/+0 until end of turn.""","1","4","0","USD","3cf8d47d-6ecb-424a-a908-a6501f308c8e","11499","9159","","Paolo Parente","mrd"
"Incite War","Incite War","Mirrodin 1/31/23","Mirrodin","MRD","96","$0.20","$0.20","","1x","","","","C","Instant","3","{2}{R}","Red","""""","48138","""Choose one —
• Creatures target player controls attack this turn if able.
• Creatures you control gain first strike until end of turn.
Entwine {2} (Choose both if you pay the entwine cost.)""","0","0","0","USD","ee30527c-0eb1-4b66-9028-1607a960019a","11416","8495","","Alex Horley-Orlandelli","mrd"
"Inertia Bubble","Inertia Bubble","Mirrodin 1/31/23","Mirrodin","MRD","37","$0.20","$0.20","","1x","","","","C","Enchantment — Aura","2","{1}{U}","Blue","""""","49443","""Enchant artifact
Enchanted artifact doesn't untap during its controller's untap step.""","0","0","0","USD","72b2d227-68b3-40e8-bef7-45ea43e17318","11360","8047","","Hugh Jamieson","mrd"
"Leonin Elder","Leonin Elder","Mirrodin 1/31/23","Mirrodin","MRD","10","$0.27","$0.27","","1x","","","","C","Creature — Cat Cleric","1","{W}","White","""""","46072","""Whenever an artifact enters the battlefield, you may gain 1 life.""","1","1","0","USD","e9b766e7-fe4a-47fb-949b-e046b5a38d91","11333","7831","","Todd Lockwood","mrd"
"Neurok Familiar","Neurok Familiar","Mirrodin 1/31/23","Mirrodin","MRD","43","$0.20","$0.20","","1x","","","","C","Creature — Bird","2","{1}{U}","Blue","""""","46082","""Flying
When Neurok Familiar enters the battlefield, reveal the top card of your library. If it's an artifact card, put it into your hand. Otherwise, put it into your graveyard.""","1","1","0","USD","52fd15b0-4ada-41c7-81e0-4f8956798685","11366","8095","","Edward P. Beard, Jr.","mrd"
"Pewter Golem","Pewter Golem","Mirrodin 1/31/23","Mirrodin","MRD","227","$0.22","$0.22","","1x","","","","C","Artifact Creature — Golem","5","{5}","","""""","48054","""{1}{B}: Regenerate Pewter Golem.""","4","2","0","USD","28aa6682-bf11-4959-9d07-423a55f35199","11538","9471","","Paolo Parente","mrd"
"Spikeshot Goblin","Spikeshot Goblin","Mirrodin 1/31/23","Mirrodin","MRD","108","$0.24","$0.24","","1x","","","","C","Creature — Goblin Shaman","3","{2}{R}","Red","""• Spikeshot Goblin’s power is determined as its ability resolves. If Spikeshot Goblin has left the battlefield, use its power as it last existed on the battlefield.""","46103","""{R}, {T}: Spikeshot Goblin deals damage equal to its power to any target.""","1","2","0","USD","147c826a-b664-4afa-ae7f-284ddce80861","11427","8583","","Alan Pollack","mrd"
"Yotian Soldier","Yotian Soldier","Mirrodin 1/31/23","Mirrodin","MRD","277","$0.20","$0.20","","1x","","","","C","Artifact Creature — Soldier","3","{3}","","""""","46026","""Vigilance""","1","4","0","USD","936af0be-6e7b-49f0-ba84-d8bc1b60994d","11584","9839","","Luca Zontini","mrd"
