Name,Name,List name,Edition,Edition code,Collector's number,Price,Price (total),Foil,QuantityX,Tag,Language,Condition,Rarity,Card Type,CMC,Mana Value,Color,Card Rulings,MultiverseID,Card Text,Power,Toughness,Loyalty,Currency,Scryfall ID,TCGPlayer productID,TCGPlayer Sku,Is Commander?,Artists,Edition code MTGO
"Brimstone Dragon","Brimstone Dragon","Mystery/the list (1/31/23)","Mystery Booster","MB1","873","$0.44","$0.44","","1x","","","","R","Creature — Dragon","8","{6}{R}{R}","Red","""""","0","""Flying, haste""","6","6","0","USD","4f15a7e3-3c10-422f-9b73-f4e25f993322","204440","4274730","","David A. Cherry","mb1"
"Doran, the Siege Tower","Doran, the Siege Tower","Mystery/the list (1/31/23)","The List","PLIST","206","$0.80","$0.80","","1x","","","","R","Legendary Creature — Treefolk Shaman","3","{W}{B}{G}","White/Black/Green","""• This effect is mandatory and affects all creatures.
• Doran’s ability means, for example, that a 2/3 creature will assign 3 damage in combat instead of 2.
• Doran’s ability doesn’t actually change creatures’ power; it changes only the value of the combat damage they assign. All other rules and effects that check power or toughness use the real values.""","0","""Each creature assigns combat damage equal to its toughness rather than its power.""","0","5","0","USD","de550e4b-fa50-4e37-a2e2-2dac85b1eb94","222407","4581195","","Mark Zug","plist"
"Pulse of the Grid","Pulse of the Grid","Mystery/the list (1/31/23)","The List","PLIST","1028","$0.43","$0.43","","1x","","","","R","Instant","3","{1}{U}{U}","Blue","""""","0","""Draw two cards, then discard a card. Then if an opponent has more cards in hand than you, return Pulse of the Grid to its owner's hand.""","0","0","0","USD","239af309-5f18-4f6b-a7dd-1a2c3c74f8b9","492676","7108235","","Wayne England","plist"
"Ahn-Crop Crasher","Ahn-Crop Crasher","Mystery/the list (1/31/23)","Mystery Booster","MB1","833","$0.25","$0.25","","1x","","","","U","Creature — Minotaur Warrior","3","{2}{R}","Red","""• You can’t exert a creature unless an effect allows you to do so. Similar effects that “tap and freeze” a creature (such as that of Decision Paralysis) don’t exert that creature.
• If an exerted creature is already untapped during your next untap step (most likely because it had vigilance or an effect untapped it), exert’s effect preventing it from untapping expires without having done anything.
• If you gain control of another player’s creature until end of turn and exert it, it will untap during that player’s untap step.
• If a creature has a targeted triggered ability that triggers when you exert it, you can exert it even if there isn’t a legal target for that triggered ability.
• All cards in the Amonkhet set that let you exert a creature let you do so as you declare it as an attacking creature, as do some of the cards in the Hour of Devastation set. You can’t do so later in combat, and creatures put onto the battlefield attacking can’t be exerted. Any abilities that trigger on exerting an attacking creature will resolve before blockers are declared.""","0","""Haste
You may exert Ahn-Crop Crasher as it attacks. When you do, target creature can't block this turn. (An exerted creature won't untap during your next untap step.)""","3","2","0","USD","2afe4ab9-2213-4b73-9735-83e1d6c33b04","204276","4273915","","Seb McKinnon","mb1"
"Akroan Hoplite","Akroan Hoplite","Mystery/the list (1/31/23)","Mystery Booster","MB1","1386","$0.25","$0.25","","1x","","","","U","Creature — Human Soldier","2","{R}{W}","White/Red","""• Count the number of attacking creatures you control when the ability resolves to determine the value of X.
• Once the ability resolves, the bonus won't change even if the number of attacking creatures you control does.""","0","""Whenever Akroan Hoplite attacks, it gets +X/+0 until end of turn, where X is the number of attacking creatures you control.""","1","2","0","USD","7f82800a-2382-432d-ab85-e19c7b40f736","203132","4268028","","Igor Kieryluk","mb1"
"Anger","Anger","Mystery/the list (1/31/23)","Mystery Booster","MB1","839","$4.46","$4.46","","1x","","","","U","Creature — Incarnation","4","{3}{R}","Red","""• The timestamp for the “in your graveyard” ability is set at the time that this card goes to your graveyard, regardless of whether you control a Mountain at that time.""","0","""Haste
As long as Anger is in your graveyard and you control a Mountain, creatures you control have haste.""","2","2","0","USD","340b9004-e05e-4590-a200-b62bd77d1007","204324","4274150","","Svetlin Velinov","mb1"
"Archangel","Archangel","Mystery/the list (1/31/23)","Mystery Booster","MB1","25","$0.28","$0.28","","1x","","","","U","Creature — Angel","7","{5}{W}{W}","White","""""","0","""Flying, vigilance""","5","5","0","USD","ac239a90-194e-48bc-933b-0e9ef81c9bcb","202805","4266397","","Quinton Hoover","mb1"
"Armament Corps","Armament Corps","Mystery/the list (1/31/23)","Mystery Booster","MB1","1389","$0.25","$0.25","","1x","","","","U","Creature — Human Soldier","5","{2}{W}{B}{G}","White/Black/Green","""• The enters-the-battlefield ability can target Armament Corps itself.
• You choose how the counters will be distributed as you put the ability on the stack. Notably, if you choose to put one +1/+1 counter on each of two target creatures, and one of those creatures becomes an illegal target in response, the +1/+1 counter that would’ve gone on that creature is lost. It can’t be put on the remaining legal target.""","0","""When Armament Corps enters the battlefield, distribute two +1/+1 counters among one or two target creatures you control.""","4","4","0","USD","dbd2c383-67a9-4f2f-b35f-b6e86c4d1a48","203137","4268053","","Steven Belledin","mb1"
"Avalanche Riders","Avalanche Riders","Mystery/the list (1/31/23)","Mystery Booster","MB1","844","$0.35","$0.70","","2x","","","","U","Creature — Human Nomad","4","{3}{R}","Red","""""","0","""Haste
Echo {3}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)
When Avalanche Riders enters the battlefield, destroy target land.""","2","2","0","USD","33546a5d-d292-4050-8b17-03acbf8b9095","204347","4274265","","Edward P. Beard, Jr.","mb1"
"Bear's Companion","Bear's Companion","Mystery/the list (1/31/23)","Mystery Booster","MB1","1397","$0.25","$0.25","","1x","","","","U","Creature — Human Warrior","5","{2}{G}{U}{R}","Blue/Red/Green","""""","0","""When Bear's Companion enters the battlefield, create a 4/4 green Bear creature token.""","2","2","0","USD","18ef8c46-0842-4cf7-93b7-e659a08c5b94","203156","4268148","","Winona Nelson","mb1"
