Name,Name,List name,Edition,Edition code,Collector's number,Price,Price (total),Foil,QuantityX,Tag,Language,Condition,Rarity,Card Type,CMC,Mana Value,Color,Card Rulings,MultiverseID,Card Text,Power,Toughness,Loyalty,Currency,Scryfall ID,TCGPlayer productID,TCGPlayer Sku,Is Commander?,Artists,Edition code MTGO
"All-Seeing Arbiter","All-Seeing Arbiter","Street of new capenna","Streets of New Capenna","SNC","286","$0.57","$0.57","","1x","","","","M","Creature — Avatar","6","{4}{U}{U}","Blue","""• The mana value of a split card in the graveyard is the total mana value of both halves of that card. It does not have two mana values.
• The mana value of a double-faced card in your graveyard is always the mana value of the front face.
• X is 0 when determining the mana value of a card in your graveyard.
• The mana value of a land card is 0.""","558420","""Flying
Whenever All-Seeing Arbiter enters the battlefield or attacks, draw two cards, then discard a card.
Whenever you discard a card, target creature an opponent controls gets -X/-0 until your next turn, where X is the number of different mana values among cards in your graveyard.""","5","4","0","USD","0ac7e199-c32e-4479-a92f-df52f1182c9a","268583","5499661","","Anato Finnstark","snc"
"Arcane Bombardment","Arcane Bombardment","Street of new capenna","Streets of New Capenna","SNC","101","$3.06","$3.06","","1x","","","","M","Enchantment","6","{4}{R}{R}","Red","""• If Arcane Bombardment leaves the battlefield, the exiled cards remain in exile. If it returns to the battlefield or you play another copy of it, you won't get to cast copies of the cards previously exiled.
• The spell that caused Arcane Bombardment's ability to trigger is normally still on the stack while that ability resolves. That spell won't be among the cards in your graveyard when you exile an instant or sorcery from it at random.
• If you've already cast an instant or sorcery spell the turn that Arcane Bombardment enters the battlefield, it won't trigger until you cast an instant or sorcery spell on a later turn.
• You cast the desired copies as the triggered ability resolves. You don't get to cast them later in the turn. You choose the order of copies as you cast them.
• If you cast a spell with {X} in its cost without paying its mana cost, you must choose 0 for X.""","555302","""Whenever you cast your first instant or sorcery spell each turn, exile an instant or sorcery card at random from your graveyard. Then copy each card exiled with Arcane Bombardment. You may cast any number of the copies without paying their mana costs.""","0","0","0","USD","31f1b2bd-fe06-45ec-99dc-ff357a7a31d2","268433","5493484","","Marta Nael","snc"
"Body Launderer","Body Launderer","Street of new capenna","Streets of New Capenna","SNC","68","$1.06","$1.06","","1x","","","","M","Creature — Ogre Rogue","4","{2}{B}{B}","Black","""• Use Body Launderer's power as it last existed on the battlefield to determine legal targets for its last ability.
• Once an ability that causes a creature to connive begins to resolve, no player may take any other actions until it's done. Notably, opponents can't try to remove the conniving creature after you discard a nonland card but before it receives a counter.
• If no card is discarded, most likely because that player's hand is empty and an effect says they can't draw cards, the conniving creature does not receive a +1/+1 counter.
• If a resolving spell or ability instructs a specific creature to connive but that creature has left the battlefield, the creature still connives. If you discard a nonland card this way, you won't put a +1/+1 counter on anything. Abilities that trigger “when [that creature] connives” will trigger.""","555269","""Deathtouch
Whenever another nontoken creature you control dies, Body Launderer connives.
When Body Launderer dies, return another target non-Rogue creature card with equal or lesser power from your graveyard to the battlefield.""","3","3","0","USD","24d7d77a-35b6-451a-af44-ecaf38facccb","268777","5507967","","Matt Stewart","snc"
"Elspeth Resplendent","Elspeth Resplendent","Street of new capenna","Streets of New Capenna","SNC","11","$3.69","$3.69","","1x","","","","M","Legendary Planeswalker — Elspeth","5","{3}{W}{W}","White","""• For Elspeth's first ability, its controller chooses flying, first strike, lifelink, or vigilance, then that counter and the +1/+1 counter are placed on the target creature at the same time.
• Shield counters don't prevent players from sacrificing creatures.
• Removing a shield counter in this way isn't the same as regenerating a creature.
• If a permanent that would be dealt damage has more than one shield counter on it, that damage is prevented and only one shield counter is removed.
• If a permanent with a shield counter is dealt unpreventable damage, that damage will be dealt and a shield counter will still be removed.
• A creature with a shield counter on it may still be destroyed by state-based actions if it has damage marked on it equal to its toughness or has been dealt unpreventable damage by a source with deathtouch.
• “Shield” is not an ability that creatures have and shield counters are not keyword counters. If a creature with a shield counter loses its abilities, the shield counter will still protect it as normal.""","555212","""+1: Choose up to one target creature. Put a +1/+1 counter and a counter from among flying, first strike, lifelink, or vigilance on it.
−3: Look at the top seven cards of your library. You may put a permanent card with mana value 3 or less from among them onto the battlefield with a shield counter on it. Put the rest on the bottom of your library in a random order.
−7: Create five 3/3 white Angel creature tokens with flying.""","0","0","5","USD","7c606af0-f3d1-44a4-b24e-ee1263569b1f","268362","5488836","","Anna Steinbauer","snc"
"Halo Fountain","Halo Fountain","Street of new capenna","Streets of New Capenna","SNC","15","$5.30","$5.30","","1x","","","","M","Artifact","3","{2}{W}","White","""• Untapping creatures is part of the cost of all of Halo Fountain's abilities. Once you've begun activating an ability, other players can't take actions until you have finished activating it, including paying its costs. Notably, players can't take actions to remove the creatures from the battlefield to prevent you from untapping them to pay for the ability.
• Activating mana abilities is done before paying costs when activating an ability. This means that if you control a creature which can be tapped for mana, such as Avacyn's Pilgrim, you may both tap it for mana and untap it to pay costs for Halo Fountain's activated abilities.""","555216","""{W}, {T}, Untap a tapped creature you control: Create a 1/1 green and white Citizen creature token.
{W}{W}, {T}, Untap two tapped creatures you control: Draw a card.
{W}{W}{W}{W}{W}, {T}, Untap fifteen tapped creatures you control: You win the game.""","0","0","0","USD","0ee79399-715c-4c46-9fa1-e76b1087f009","268356","5488176","","Anastasia Ovchinnikova","snc"
"Lord Xander, the Collector","Lord Xander, the Collector","Street of new capenna","Streets of New Capenna","SNC","197","$1.79","$1.79","","1x","","","","M","Legendary Creature — Vampire Demon Noble","7","{4}{U}{B}{R}","Blue/Black/Red","""""","555398","""When Lord Xander, the Collector enters the battlefield, target opponent discards half the cards in their hand, rounded down.
Whenever Lord Xander attacks, defending player mills half their library, rounded down.
When Lord Xander dies, target opponent sacrifices half the nonland permanents they control, rounded down.""","6","6","0","USD","ee0a078d-045f-401b-a561-dcb1ad02bf62","267923","5483601","","Martina Fačková","snc"
"Sanctuary Warden","Sanctuary Warden","Street of new capenna","Streets of New Capenna","SNC","30","$1.15","$1.15","Foil","1x","","","","M","Creature — Angel Soldier","6","{4}{W}{W}","White","""• Sanctuary Warden's triggered ability allows you to remove any kind of counter, not just a shield counter.
• Shield counters don't prevent players from sacrificing creatures.
• Removing a shield counter in this way isn't the same as regenerating a creature.
• If a permanent that would be dealt damage has more than one shield counter on it, that damage is prevented and only one shield counter is removed.
• If a permanent with a shield counter is dealt unpreventable damage, that damage will be dealt and a shield counter will still be removed.
• A creature with a shield counter on it may still be destroyed by state-based actions if it has damage marked on it equal to its toughness or has been dealt unpreventable damage by a source with deathtouch.
• “Shield” is not an ability that creatures have and shield counters are not keyword counters. If a creature with a shield counter loses its abilities, the shield counter will still protect it as normal.""","555231","""Flying
Sanctuary Warden enters the battlefield with two shield counters on it.
Whenever Sanctuary Warden enters the battlefield or attacks, you may remove a counter from a creature or planeswalker you control. If you do, draw a card and create a 1/1 green and white Citizen creature token.""","5","5","0","USD","4dfdab77-d7c3-4e6a-bb4b-55153bd2fd4d","268919","5516492","","Johannes Voss","snc"
"Cabaretti Ascendancy","Cabaretti Ascendancy","Street of new capenna","Streets of New Capenna","SNC","172","$0.30","$0.30","","1x","","","","R","Enchantment","3","{R}{G}{W}","White/Red/Green","""""","555373","""At the beginning of your upkeep, look at the top card of your library. If it's a creature or planeswalker card, you may reveal it and put it into your hand. If you don't put the card into your hand, you may put it on the bottom of your library.""","0","0","0","USD","9738d616-b38f-4968-89d6-805ae368e2d4","268797","5509852","","Kari Christensen","snc"
"Cemetery Tampering","Cemetery Tampering","Street of new capenna","Streets of New Capenna","SNC","69","$0.35","$0.35","","1x","","","","R","Enchantment","3","{2}{B}","Black","""• “Hideaway N” means “When this permanent enters the battlefield, look at the top N cards of your library. Exile one of them face down and put the rest on the bottom of your library in a random order. The exiled card gains ‘The player who controls the permanent that exiled this card may look at this card in the exile zone.'”
• Any player who has controlled a permanent with a hideaway ability since a card was exiled with it may look at that card.
• Previously, permanents with hideaway entered the battlefield tapped. This ability has been removed from the definition of hideaway. Older cards have received errata to have an additional paragraph that reads “[This permanent] enters the battlefield tapped,” and they now have hideaway 4.
• Hideaway now causes you to put the rest of the cards on the bottom of your library in a random order instead of any order.""","555270","""Hideaway 5 (When this enchantment enters the battlefield, look at the top five cards of your library, exile one face down, then put the rest on the bottom in a random order.)
At the beginning of your upkeep, you may mill three cards. Then if there are twenty or more cards in your graveyard, you may play the exiled card without paying its mana cost.""","0","0","0","USD","6c6e8d37-badd-4b9a-94e5-2d50ec78182c","268565","5498781","","Taras Susak","snc"
"Corpse Explosion","Corpse Explosion","Street of new capenna","Streets of New Capenna","SNC","179","$0.25","$0.25","","1x","","","","R","Sorcery","3","{1}{B}{R}","Black/Red","""• Once you have begun to cast Corpse Explosion, there is no point at which players can respond by removing cards from your graveyard to prevent you from being able to pay for it with a specific creature card.
• Use the card's power as it last existed in the graveyard to determine how much damage is dealt.""","555380","""As an additional cost to cast this spell, exile a creature card from your graveyard.
Corpse Explosion deals damage equal to the exiled card's power to each creature and each planeswalker.""","0","0","0","USD","c700eff3-138b-4d4c-ba36-58b98986168c","268954","5518507","","Greg Staples","snc"
