Name,Name,List name,Edition,Edition code,Collector's number,Price,Price (total),Foil,QuantityX,Tag,Language,Condition,Rarity,Card Type,CMC,Mana Value,Color,Card Rulings,MultiverseID,Card Text,Power,Toughness,Loyalty,Currency,Scryfall ID,TCGPlayer productID,TCGPlayer Sku,Is Commander?,Artists,Edition code MTGO
"Blot Out the Sky","Blot Out the Sky","Strixhaven 1/30/23","Strixhaven: School of Mages","STX","167","$0.86","$0.86","","1x","","","","M","Sorcery","2","{X}{W}{B}","White/Black","""""","513659","""Create X tapped 2/1 white and black Inkling creature tokens with flying. If X is 6 or more, destroy all noncreature, nonland permanents.""","0","0","0","USD","0141312f-4b68-4c56-b1dc-5b7e6afbb96c","236009","4878128","","Olena Richards","stx"
"Body of Research","Body of Research","Strixhaven 1/30/23","Strixhaven: School of Mages","STX","168","$1.00","$1.00","","1x","","","","M","Sorcery","6","{G}{G}{G}{U}{U}{U}","Blue/Green","""""","513660","""Create a 0/0 green and blue Fractal creature token. Put X +1/+1 counters on it, where X is the number of cards in your library.""","0","0","0","USD","98b56823-0076-49cc-b5aa-4accb8e2782e","235916","4868613","","Antonio José Manzanedo","stx"
"Channel","Channel","Strixhaven 1/30/23","Strixhaven Mystical Archive","STA","50e","$1.00","$1.00","","1x","","","","M","Sorcery","2","{G}{G}","Green","""• Once your life total is 0, you can't pay any more life, even if you've somehow not lost the game yet.""","517600","""Until end of turn, any time you could activate a mana ability, you may pay 1 life. If you do, add {C}.""","0","0","0","USD","0e07a16f-d836-40f9-85e3-a78582a97109","235136","","","Kristina Collantes",""
"Chaos Warp","Chaos Warp","Strixhaven 1/30/23","Strixhaven Mystical Archive","STA","36e","$7.00","$7.00","","1x","","","","M","Instant","3","{2}{R}","Red","""• The owner of a token is the player under whose control the token was put onto the battlefield. If a token is shuffled into a player's library this way, that player shuffles before revealing the top card of that library.
• If the permanent is an illegal target by the time Chaos Warp tries to resolve, it won't resolve and none of its effects will occur. No library will be shuffled and no card will be revealed.
• A permanent card is a card with one or more of the following card types: artifact, creature, enchantment, land, or planeswalker.
• If the revealed card is a permanent card but can't enter the battlefield (perhaps because it's an Aura with nothing to enchant), it remains on top of that library.
• If the revealed card is not a permanent card, it remains on top of that library.""","517586","""The owner of target permanent shuffles it into their library, then reveals the top card of their library. If it's a permanent card, they put it onto the battlefield.""","0","0","0","USD","6d0a3996-5a03-481b-9bda-15c6f6e5f9c4","235310","","","Anato Finnstark",""
"Crackle with Power","Crackle with Power","Strixhaven 1/30/23","Strixhaven: School of Mages","STX","95","$5.61","$5.61","","1x","","","","M","Sorcery","2","{X}{X}{X}{R}{R}","Red","""• If you choose 1 for the value of X, Crackle with Power will cost {3}{R}{R} to cast and deal five damage to a single target. If you choose 2 for the value of X, it will cost {6}{R}{R} to cast and deal ten damage to each of up to two targets, and so on.""","513572","""Crackle with Power deals five times X damage to each of up to X targets.""","0","0","0","USD","de547f52-3798-4b3a-947d-24873251204b","235881","4865895","","Micah Epstein","stx"
"Increasing Vengeance","Increasing Vengeance","Strixhaven 1/30/23","Strixhaven Mystical Archive","STA","40e","$2.75","$2.75","","1x","","","","M","Instant","2","{R}{R}","Red","""• If a card with flashback is put into your graveyard during your turn, you can cast it if it's legal to do so before any other player can take any actions.
• “Flashback [cost]” means “You may cast this card from your graveyard by paying [cost] rather than paying its mana cost” and “If the flashback cost was paid, exile this card instead of putting it anywhere else any time it would leave the stack.”
• You must still follow any timing restrictions and permissions, including those based on the card's type. For instance, you can cast a sorcery using flashback only when you could normally cast a sorcery.
• To determine the total cost of a spell, start with the mana cost or alternative cost (such as a flashback cost) you're paying, add any cost increases, then apply any cost reductions. The mana value of the spell is determined only by its mana cost, no matter what the total cost to cast the spell was.
• A spell cast using flashback will always be exiled afterward, whether it resolves, is countered, or leaves the stack in some other way.
• You can cast a spell using flashback even if it was somehow put into your graveyard without having been cast.
• Increasing Vengeance can target (and copy) any instant or sorcery spell you control, not just one with targets.
• When Increasing Vengeance resolves, it creates one or two copies of a spell. You control each of the copies. Those copies are created on the stack, so they're not “cast.” Abilities that trigger when a player casts a spell won't trigger. The copies will then resolve like normal spells, after players get a chance to cast spells and activate abilities.
• Each of the copies will have the same targets as the spell it's copying unless you choose new ones. You may change any number of the targets, including all of them or none of them. If, for one of the targets, you can't choose a new legal target, then it remains unchanged (even if the current target is illegal). If there are two copies, you may change the targets of each of them to different legal targets.
• If the spell Increasing Vengeance copies is modal (that is, it says “Choose one —” or the like), the copies will have the same mode(s). You can't choose different ones.
• If the spell Increasing Vengeance copies has an X whose value was determined as it was cast (like Earthquake does), the copy has the same value of X.
• You can't choose to pay any additional costs for the copies. However, effects based on any additional costs that were paid for the original spell are copied as though those same costs were paid for the copies too. For example, if you sacrifice a 3/3 creature to cast Fling and then copy it with Increasing Vengeance, the copies of Fling will also deal 3 damage to its target.""","517590","""Copy target instant or sorcery spell you control. If this spell was cast from a graveyard, copy that spell twice instead. You may choose new targets for the copies.
Flashback {3}{R}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)""","0","0","0","USD","6ef32c03-14f5-4ee2-af3a-4cbee45cd152","235615","","","Dominik Mayer",""
"Kasmina, Enigma Sage","Kasmina, Enigma Sage","Strixhaven 1/30/23","Strixhaven: School of Mages","STX","279","$2.18","$2.18","","1x","","","","M","Legendary Planeswalker — Kasmina","3","{1}{G}{U}","Blue/Green","""• Each other planeswalker you control gains Kasmina’s loyalty abilities in addition to their own. For each planeswalker you control, you may still activate only one of that planeswalker’s loyalty abilities per turn.
• When you activate Kasmina’s last loyalty ability on another planeswalker, you search your library for a card that shares a color with that planeswalker, not with Kasmina. You can’t search for a colorless card, even if the planeswalker is colorless.""","516793","""Each other planeswalker you control has the loyalty abilities of Kasmina, Enigma Sage.
+2: Scry 1.
−X: Create a 0/0 green and blue Fractal creature token. Put X +1/+1 counters on it.
−8: Search your library for an instant or sorcery card that shares a color with this planeswalker, exile that card, then shuffle. You may cast that card without paying its mana cost.""","0","0","2","USD","fed5f87d-3bca-44fc-a1ea-fc01e36ba092","235127","4837016","","Ryan Pancoast","stx"
"Rowan, Scholar of Sparks // Will, Scholar of Frost","Rowan, Scholar of Sparks // Will, Scholar of Frost","Strixhaven 1/30/23","Strixhaven: School of Mages","STX","156","$2.02","$2.02","","1x","","","","M","Legendary Planeswalker — Rowan","3","{2}{R}","Red","""• Neither face’s first ability can reduce colored mana requirements of spells you cast.
• To determine the total cost of a spell, start with the mana cost or alternative cost you’re paying, add any cost increases, then apply any cost reductions (such as that of Rowan or Will’s first ability). The mana value of the spell is determined only by its mana cost, no matter what the total cost to cast the spell was.
• For Rowan’s emblem, you can pay {2} only once. You can’t pay more to copy the spell more than once.
• For Will’s first loyalty ability, any effects that modify a creature’s power and/or toughness without setting them to a specific value (i.e. ones that don’t affect base power and/or toughness) will apply after its base power and toughness are set, regardless of the order those effects were created. The same is true for counters that modify its power and toughness.""","516792","""Instant and sorcery spells you cast cost {1} less to cast.
+1: Rowan, Scholar of Sparks deals 1 damage to each opponent. If you've drawn three or more cards this turn, she deals 3 damage to each opponent instead.
−4: You get an emblem with ""Whenever you cast an instant or sorcery spell, you may pay {2}. If you do, copy that spell. You may choose new targets for the copy.""""","0","0","0","USD","18c16872-3675-4a4d-962a-2e17ad6f3886","235166","4839036","","Magali Villeneuve","stx"
"Abundant Harvest","Abundant Harvest","Strixhaven 1/30/23","Strixhaven Mystical Archive","STA","48","$0.40","$0.40","","1x","","","","R","Sorcery","1","{G}","Green","""""","517598","""Choose land or nonland. Reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and the rest on the bottom of your library in a random order.""","0","0","0","USD","16782095-0b7f-4489-8a97-b74f8efef352","235177","4880918","","Barbara Rosiak",""
"Academic Probation","Academic Probation","Strixhaven 1/30/23","Strixhaven: School of Mages","STX","7","$0.28","$0.28","","1x","","","","R","Sorcery — Lesson","2","{1}{W}","White","""• For the first mode, no one can cast spells between the time a card is named and the time that Academic Probation’s effect starts to apply.
• Academic Probation is a sorcery, but in some unusual cases it may be cast in response to other spells. Spells with the chosen name that somehow happen to already be on the stack when Academic Probation resolves will not be affected.
• Although spells with the chosen name can’t be cast, a card with that name can still be put onto the battlefield by another effect (if it’s a permanent card).
• You can name either face of a modal double-faced card, but not both, and you can name either half of a split card, but not both. Opponents may still cast the face or half you didn’t name.
• If you target a noncreature permanent with the second mode and it later becomes a creature, that creature still won’t be able to attack or block until your next turn.
• Activated abilities contain a colon. They’re generally written “[Cost]: [Effect].” Some keyword abilities (such as equip) are activated abilities and will have a colon in their reminder text. Triggered abilities (starting with “when,” “whenever,” or “at”) are unaffected.
• Lesson is a spell subtype found on some instant and sorcery cards in the Strixhaven set. The Lesson subtype has no special rules associated with it.
• Although you may want to include Lessons in your sideboard if you’re playing with cards that instruct you to learn, Lesson cards can be included in your main deck like other instant or sorcery cards.""","513484","""Choose one —
• Choose a nonland card name. Opponents can't cast spells with the chosen name until your next turn.
• Choose target nonland permanent. Until your next turn, it can't attack or block, and its activated abilities can't be activated.""","0","0","0","USD","05521edf-f47f-4e7a-aec5-cdc4ae7368c2","235563","4850217","","Cristi Balanescu","stx"
