Name,Name,List name,Edition,Edition code,Collector's number,Price,Price (total),Foil,QuantityX,Tag,Language,Condition,Rarity,Card Type,CMC,Mana Value,Color,Card Rulings,MultiverseID,Card Text,Power,Toughness,Loyalty,Currency,Scryfall ID,TCGPlayer productID,TCGPlayer Sku,Is Commander?,Artists,Edition code MTGO
"All That Glitters","All That Glitters","Throne of Eldraine 1/30/23","Throne of Eldraine","ELD","2","$0.99","$0.99","","1x","","","","U","Enchantment — Aura","2","{1}{W}","White","""• Because All That Glitters is an enchantment, the enchanted creature usually gets at least +1/+1.
• A permanent that's both an artifact and an enchantment is counted only once.
• You still control Auras that you put onto the battlefield attached to a permanent you don't control.""","472964","""Enchant creature
Enchanted creature gets +1/+1 for each artifact and/or enchantment you control.""","0","0","0","USD","d9713032-2956-4564-b5f5-2dd16245a4e6","198548","4179832","","Iain McCaig","eld"
"Animating Faerie // Bring to Life","Animating Faerie // Bring to Life","Throne of Eldraine 1/30/23","Throne of Eldraine","ELD","38","$0.22","$0.22","","1x","","","","U","Creature — Faerie // Sorcery — Adventure","3","{2}{U} // {2}{U}","Blue","""• An adventurer card is a creature card in every zone except the stack, as well as while on the stack if not cast as an Adventure. Ignore its alternative characteristics in those cases. For example, while it's in your graveyard, Giant Killer is a white creature card whose mana value is 1. It can't be the target of the triggered ability of Mystic Sanctuary.
• When casting a spell as an Adventure, use the alternative characteristics and ignore all of the card's normal characteristics. The spell's color, mana cost, mana value, and so on are determined by only those alternative characteristics. If the spell leaves the stack, it immediately resumes using its normal characteristics.
• If you cast an adventurer card as an Adventure, use only its alternative characteristics to determine whether it's legal to cast that spell. For example, if Giant Killer is exiled with the last ability of Vivien, Champion of the Wilds, you can't cast it as Chop Down.
• If a spell is cast as an Adventure, its controller exiles it instead of putting it into its owner's graveyard as it resolves. For as long as it remains exiled, that player may cast it as a creature spell. If an Adventure spell leaves the stack in any way other than resolving (most likely by being countered or by failing to resolve because its targets have all become illegal), that card won't be exiled and the spell's controller won't be able to cast it as a creature later.
• If an adventurer card ends up in exile for any other reason than by exiling itself while resolving, it won't give you permission to cast it as a creature spell.
• You must still follow any timing restrictions and permissions for the creature spell you cast from exile. Normally, you'll be able to cast it only during your main phase while the stack is empty.
• If an effect copies an Adventure spell, that copy is exiled as it resolves. It ceases to exist as a state-based action; it's not possible to cast the copy as a creature.
• If an object becomes a copy of an object that has an Adventure, the copy also has an Adventure. If it changes zones, it will either cease to exist (if it's a token) or cease to be a copy (if it's a nontoken permanent), and so you won't be able to cast it as an Adventure.
• If an effect instructs you to choose a card name, you may choose the alternative Adventure name. Consider only the alternative characteristics to determine whether that is an appropriate name to choose.
• Casting a card as an Adventure isn't casting it for an alternative cost. Effects that allow you to cast a spell for an alternative cost or without paying its mana cost may allow you to apply those to the Adventure.
• Bring to Life's effect lasts indefinitely. It doesn't wear off during the cleanup step.
• An artifact that becomes a creature due to Bring to Life can't attack unless you've controlled it continuously since your turn began.
• An Equipment that's also a creature can't be attached to anything. You can activate its equip ability, but it won't become attached. If it's attached as it becomes a creature, it becomes unattached.
• If another effect later causes the artifact to become a creature and sets its power and toughness as it does so, that creature will have that base power and toughness; it won't be 0/0. Notably, crewing a Vehicle does not set its power and toughness, so a Vehicle's base power and toughness remain 0/0 if you crew it.""","0","""Flying
<>
Target noncreature artifact you control becomes a 0/0 artifact creature. Put four +1/+1 counters on it.""","2","2","0","USD","32158458-42eb-41bc-a15a-11af28463eb0","198549","4179942","","Joseph Meehan","eld"
"Beanstalk Giant // Fertile Footsteps","Beanstalk Giant // Fertile Footsteps","Throne of Eldraine 1/30/23","Throne of Eldraine","ELD","149","$0.25","$0.50","","2x","","","","U","Creature — Giant // Sorcery — Adventure","7","{6}{G} // {2}{G}","Green","""• The ability that defines Beanstalk Giant's power and toughness works in all zones, not just the battlefield.
• An adventurer card is a creature card in every zone except the stack, as well as while on the stack if not cast as an Adventure. Ignore its alternative characteristics in those cases. For example, while it's in your graveyard, Giant Killer is a white creature card whose mana value is 1. It can't be the target of the triggered ability of Mystic Sanctuary.
• When casting a spell as an Adventure, use the alternative characteristics and ignore all of the card's normal characteristics. The spell's color, mana cost, mana value, and so on are determined by only those alternative characteristics. If the spell leaves the stack, it immediately resumes using its normal characteristics.
• If you cast an adventurer card as an Adventure, use only its alternative characteristics to determine whether it's legal to cast that spell. For example, if Giant Killer is exiled with the last ability of Vivien, Champion of the Wilds, you can't cast it as Chop Down.
• If a spell is cast as an Adventure, its controller exiles it instead of putting it into its owner's graveyard as it resolves. For as long as it remains exiled, that player may cast it as a creature spell. If an Adventure spell leaves the stack in any way other than resolving (most likely by being countered or by failing to resolve because its targets have all become illegal), that card won't be exiled and the spell's controller won't be able to cast it as a creature later.
• If an adventurer card ends up in exile for any other reason than by exiling itself while resolving, it won't give you permission to cast it as a creature spell.
• You must still follow any timing restrictions and permissions for the creature spell you cast from exile. Normally, you'll be able to cast it only during your main phase while the stack is empty.
• If an effect copies an Adventure spell, that copy is exiled as it resolves. It ceases to exist as a state-based action; it's not possible to cast the copy as a creature.
• If an object becomes a copy of an object that has an Adventure, the copy also has an Adventure. If it changes zones, it will either cease to exist (if it's a token) or cease to be a copy (if it's a nontoken permanent), and so you won't be able to cast it as an Adventure.
• If an effect instructs you to choose a card name, you may choose the alternative Adventure name. Consider only the alternative characteristics to determine whether that is an appropriate name to choose.
• Casting a card as an Adventure isn't casting it for an alternative cost. Effects that allow you to cast a spell for an alternative cost or without paying its mana cost may allow you to apply those to the Adventure.""","0","""Beanstalk Giant's power and toughness are each equal to the number of lands you control.
<>
Search your library for a basic land card, put it onto the battlefield, then shuffle. (Then exile this card. You may cast the creature later from exile.)""","*","*","0","USD","a66f5ea7-ddbb-4b89-b812-77bd17972cf9","198419","4178070","","Jason A. Engle","eld"
"Beanstalk Giant // Fertile Footsteps","Beanstalk Giant // Fertile Footsteps","Throne of Eldraine 1/30/23","Throne of Eldraine","ELD","295","$0.39","$0.39","","1x","","","","U","Creature — Giant // Sorcery — Adventure","7","{6}{G} // {2}{G}","Green","""• The ability that defines Beanstalk Giant's power and toughness works in all zones, not just the battlefield.
• An adventurer card is a creature card in every zone except the stack, as well as while on the stack if not cast as an Adventure. Ignore its alternative characteristics in those cases. For example, while it's in your graveyard, Giant Killer is a white creature card whose mana value is 1. It can't be the target of the triggered ability of Mystic Sanctuary.
• When casting a spell as an Adventure, use the alternative characteristics and ignore all of the card's normal characteristics. The spell's color, mana cost, mana value, and so on are determined by only those alternative characteristics. If the spell leaves the stack, it immediately resumes using its normal characteristics.
• If you cast an adventurer card as an Adventure, use only its alternative characteristics to determine whether it's legal to cast that spell. For example, if Giant Killer is exiled with the last ability of Vivien, Champion of the Wilds, you can't cast it as Chop Down.
• If a spell is cast as an Adventure, its controller exiles it instead of putting it into its owner's graveyard as it resolves. For as long as it remains exiled, that player may cast it as a creature spell. If an Adventure spell leaves the stack in any way other than resolving (most likely by being countered or by failing to resolve because its targets have all become illegal), that card won't be exiled and the spell's controller won't be able to cast it as a creature later.
• If an adventurer card ends up in exile for any other reason than by exiling itself while resolving, it won't give you permission to cast it as a creature spell.
• You must still follow any timing restrictions and permissions for the creature spell you cast from exile. Normally, you'll be able to cast it only during your main phase while the stack is empty.
• If an effect copies an Adventure spell, that copy is exiled as it resolves. It ceases to exist as a state-based action; it's not possible to cast the copy as a creature.
• If an object becomes a copy of an object that has an Adventure, the copy also has an Adventure. If it changes zones, it will either cease to exist (if it's a token) or cease to be a copy (if it's a nontoken permanent), and so you won't be able to cast it as an Adventure.
• If an effect instructs you to choose a card name, you may choose the alternative Adventure name. Consider only the alternative characteristics to determine whether that is an appropriate name to choose.
• Casting a card as an Adventure isn't casting it for an alternative cost. Effects that allow you to cast a spell for an alternative cost or without paying its mana cost may allow you to apply those to the Adventure.""","0","""Beanstalk Giant's power and toughness are each equal to the number of lands you control.
<>
Search your library for a basic land card, put it onto the battlefield, then shuffle. (Then exile this card. You may cast the creature later from exile.)""","*","*","0","USD","49875f7a-31b9-4276-b971-8ead1e18fc81","198562","4181045","","Nick Southam","eld"
"Belle of the Brawl","Belle of the Brawl","Throne of Eldraine 1/30/23","Throne of Eldraine","ELD","78","$0.25","$0.50","","2x","","","","U","Creature — Human Knight","3","{2}{B}","Black","""""","473040","""Menace (This creature can't be blocked except by two or more creatures.)
Whenever Belle of the Brawl attacks, other Knights you control get +1/+0 until end of turn.""","3","2","0","USD","2c3c992a-70b5-4d3c-9a96-93c3365691ac","198556","4180385","","Magali Villeneuve","eld"
"Bog Naughty","Bog Naughty","Throne of Eldraine 1/30/23","Throne of Eldraine","ELD","80","$0.24","$0.48","","2x","","","","U","Creature — Faerie","5","{3}{B}{B}","Black","""• If an effect refers to a Food, it means any Food artifact, not just a Food artifact token. For example, you can sacrifice Gingerbrute to activate the last ability of Tempting Witch.""","473042","""Flying
{2}{B}, Sacrifice a Food: Target creature gets -3/-3 until end of turn.""","3","3","0","USD","0cf282fe-83fd-4208-b46f-dae76e3a7f62","198968","4192009","","Mila Pesic","eld"
"Burning-Yard Trainer","Burning-Yard Trainer","Throne of Eldraine 1/30/23","Throne of Eldraine","ELD","117","$0.21","$0.42","","2x","","","","U","Creature — Human Knight","5","{4}{R}","Red","""""","473079","""Trample, haste
When Burning-Yard Trainer enters the battlefield, another target Knight you control gets +2/+2 and gains trample and haste until end of turn.""","3","3","0","USD","17755d1b-3a56-4362-a534-85b35ceb1802","198754","4185467","","Yongjae Choi","eld"
"Cauldron Familiar","Cauldron Familiar","Throne of Eldraine 1/30/23","Throne of Eldraine","ELD","81","$3.60","$7.20","","2x","","","","U","Creature — Cat","1","{B}","Black","""• You can't activate Cauldron Familiar's last ability unless it's in your graveyard.
• In a Two-Headed Giant game, Cauldron Familiar's first ability causes the opposing team to lose 1 life twice, and you gain 1 life once.
• If an effect refers to a Food, it means any Food artifact, not just a Food artifact token. For example, you can sacrifice Gingerbrute to activate the last ability of Tempting Witch.""","473043","""When Cauldron Familiar enters the battlefield, each opponent loses 1 life and you gain 1 life.
Sacrifice a Food: Return Cauldron Familiar from your graveyard to the battlefield.""","1","1","0","USD","9a539a23-8383-4525-82dd-acfe1d219fe9","198966","4191789","","Milivoj Ćeran","eld"
"Cauldron's Gift","Cauldron's Gift","Throne of Eldraine 1/30/23","Throne of Eldraine","ELD","83","$0.25","$0.50","","2x","","","","U","Sorcery","5","{4}{B}","Black","""• The creature card you return with Cauldron's Gift may be one that you just put into your graveyard with its adamant ability. This is because Cauldron's Gift doesn't target the card that you'll return.
• No player may take actions between the time you put cards into your graveyard, the time you choose a creature card to return, and the time you return that card to the battlefield.
• If the creature would enter the battlefield with no +1/+1 counters on it, it enters with one +1/+1 counter on it.
• If an instant or sorcery spell has an adamant ability, you perform the spell's instructions in order. You don't perform the adamant instruction before the spell resolves or before any other effects printed above it.
• If an effect allows you to cast a spell without paying its mana cost, you can't choose to cast it and pay unless another rule or effect allows you to cast that spell for a cost. Similarly, you can't waive a cost reduction unless that effect says you may.
• Adamant effects check what mana was actually spent to cast a spell. If an effect allows you to spend mana “as though it were mana” of any color or type, that allows you to spend mana you couldn't otherwise spend, but it doesn't change what mana you spent to cast the spell.
• If you copy a spell that has an adamant ability, no mana was spent to cast the copy at all, so that ability won't apply.""","473045","""Adamant — If at least three black mana was spent to cast this spell, mill four cards.
You may choose a creature card in your graveyard. If you do, return it to the battlefield with an additional +1/+1 counter on it.""","0","0","0","USD","5db19a94-1170-45a0-9f06-893bf58b7233","199278","4202220","","Anna Steinbauer","eld"
"Channel the Suns","Channel the Suns","Throne of Eldraine 1/30/23","Fifth Dawn","5DN","84","$0.49","$1.47","","3x","","","","U","Sorcery","4","{3}{G}","Green","""""","73565","""Add {W}{U}{B}{R}{G}.""","0","0","0","USD","7bf574c8-a7e0-482e-bb41-680454988097","11778","23851","","Rob Alexander","5dn"
