Name,Name,List name,Edition,Edition code,Collector's number,Price,Price (total),Foil,QuantityX,Tag,Language,Condition,Rarity,Card Type,CMC,Mana Value,Color,Card Rulings,MultiverseID,Card Text,Power,Toughness,Loyalty,Currency,Scryfall ID,TCGPlayer productID,TCGPlayer Sku,Is Commander?,Artists,Edition code MTGO
"Angrath's Rampage","Angrath's Rampage","War of the spark 1/31/23","War of the Spark","WAR","185","$0.25","$0.25","","1x","","","","U","Sorcery","2","{B}{R}","Black/Red","""""","461112","""Choose one —
• Target player sacrifices an artifact.
• Target player sacrifices a creature.
• Target player sacrifices a planeswalker.""","0","0","0","USD","f5a39379-7313-463a-9a02-e5157b9557f4","188100","3997601","","Victor Adame Minguez","war"
"Arlinn, Voice of the Pack","Arlinn, Voice of the Pack","War of the spark 1/31/23","War of the Spark","WAR","150","$0.30","$0.30","","1x","","","","U","Legendary Planeswalker — Arlinn","6","{4}{G}{G}","Green","""• A creature that’s a Wolf or Werewolf enters the battlefield with one +1/+1 counter if it would otherwise enter with no +1/+1 counters.
• A creature that’s both a Wolf and a Werewolf receives only one additional +1/+1 counter from Arlinn’s ability.
• If Arlinn leaves the battlefield before her last ability resolves, most likely because she only had 2 loyalty when you activated the ability, the Wolf token won’t enter the battlefield with a +1/+1 counter.""","461077","""Each creature you control that's a Wolf or a Werewolf enters the battlefield with an additional +1/+1 counter on it.
−2: Create a 2/2 green Wolf creature token.""","0","0","7","USD","5391d2f1-e8d3-4d39-98cf-367888e10534","187143","3989726","","Ryan Pancoast","war"
"Augur of Bolas","Augur of Bolas","War of the spark 1/31/23","War of the Spark","WAR","41","$0.25","$0.25","","1x","","","","U","Creature — Merfolk Wizard","2","{1}{U}","Blue","""• You don’t reveal the other two cards, nor do you reveal their order on the bottom of the library.
• If there are fewer than three cards in your library when Augur of Bolas’s ability resolves, you’ll look at the remaining cards. This won’t cause you to lose the game as you haven’t drawn from an empty library.""","460968","""When Augur of Bolas enters the battlefield, look at the top three cards of your library. You may reveal an instant or sorcery card from among them and put it into your hand. Put the rest on the bottom of your library in any order.""","1","3","0","USD","d19fbfe6-69bb-452a-be3c-b9c625e23193","187183","3989932","","Alex Konstad","war"
"Bleeding Edge","Bleeding Edge","War of the spark 1/31/23","War of the Spark","WAR","78","$0.22","$0.22","","1x","","","","U","Sorcery","3","{1}{B}{B}","Black","""• You may cast Bleeding Edge without choosing a target creature. You’ll just amass 2. However, if you choose a target and that target become illegal before Bleeding Edge resolves, the spell won’t resolve and you won’t amass.
• Army is a new creature type. It’s possible to control a nontoken Army (perhaps a creature with the changeling ability) and, through combinations of other cards, it’s possible to control multiple Army tokens. When instructed to amass, you may put +1/+1 counters on any of your Army creatures, and you may choose a different one each time.
• If you don’t control an Army, the Zombie Army token that you create enters the battlefield as a 0/0 creature. Any abilities that trigger when a creature with a certain power enters the battlefield, such as that of Mentor of the Meek, will see the token enter as a 0/0 creature before it gets +1/+1 counters.""","461005","""Up to one target creature gets -2/-2 until end of turn. Amass Zombies 2. (Put two +1/+1 counters on an Army you control. It's also a Zombie. If you don't control an Army, create a 0/0 black Zombie Army creature token first.)""","0","0","0","USD","ac82422c-8ac8-4fbb-b9b9-d0aa23dded61","188875","4006777","","Mike Bierek","war"
"Bolt Bend","Bolt Bend","War of the spark 1/31/23","War of the Spark","WAR","115","$1.30","$2.60","","2x","","","","U","Instant","4","{3}{R}","Red","""• Once you announce that you’re casting Bolt Bend, no player may take actions until the spell has been paid for. Notably, opponents can’t try to change whether you control a creature with power 4 or greater.
• Once you’ve cast Bolt Bend, losing control of all creatures with power 4 or greater won’t affect the spell or cause you to pay more mana.
• The single target that the target spell or ability targets doesn’t have to be a creature you control with power 4 or greater.
• You don’t choose the new target for the spell or ability until Bolt Bend resolves. You must change the target if possible. However, you can’t change the target to an illegal target. If there are no legal targets to choose from, the target isn’t changed. It doesn’t matter if the original target has somehow become illegal itself.
• If a spell or ability targets multiple things, you can’t target it with Bolt Bend, even if all but one of those targets have become illegal.
• If a spell or ability targets the same player or object multiple times, you can’t target it with Bolt Bend.""","461042","""This spell costs {3} less to cast if you control a creature with power 4 or greater.
Change the target of target spell or ability with a single target.""","0","0","0","USD","39b35408-3728-4e1b-9f58-b0775df914d6","188345","4001330","","Svetlin Velinov","war"
"Bolt Bend","Bolt Bend","War of the spark 1/31/23","War of the Spark","WAR","115","$11.67","$11.67","Foil","1x","","","","U","Instant","4","{3}{R}","Red","""• Once you announce that you’re casting Bolt Bend, no player may take actions until the spell has been paid for. Notably, opponents can’t try to change whether you control a creature with power 4 or greater.
• Once you’ve cast Bolt Bend, losing control of all creatures with power 4 or greater won’t affect the spell or cause you to pay more mana.
• The single target that the target spell or ability targets doesn’t have to be a creature you control with power 4 or greater.
• You don’t choose the new target for the spell or ability until Bolt Bend resolves. You must change the target if possible. However, you can’t change the target to an illegal target. If there are no legal targets to choose from, the target isn’t changed. It doesn’t matter if the original target has somehow become illegal itself.
• If a spell or ability targets multiple things, you can’t target it with Bolt Bend, even if all but one of those targets have become illegal.
• If a spell or ability targets the same player or object multiple times, you can’t target it with Bolt Bend.""","461042","""This spell costs {3} less to cast if you control a creature with power 4 or greater.
Change the target of target spell or ability with a single target.""","0","0","0","USD","39b35408-3728-4e1b-9f58-b0775df914d6","188345","4001335","","Svetlin Velinov","war"
"Bond of Discipline","Bond of Discipline","War of the spark 1/31/23","War of the Spark","WAR","6","$0.25","$0.50","","2x","","","","U","Sorcery","5","{4}{W}","White","""• You can cast Bond of Discipline even if your opponents control no creatures or you control no creatures. The creatures that are on the battlefield will be affected as appropriate.""","460933","""Tap all creatures your opponents control. Creatures you control gain lifelink until end of turn.""","0","0","0","USD","bb7c78bb-9f2a-47a4-adc4-b497bb38f46f","188604","4005183","","Zezhou Chen","war"
"Challenger Troll","Challenger Troll","War of the spark 1/31/23","War of the Spark","WAR","157","$0.25","$0.50","","2x","","","","U","Creature — Troll","5","{4}{G}","Green","""• Challenger Troll’s ability affects itself as long as its power remains 4 or greater.
• Once a creature you control with power 3 or less has become blocked by two or more creatures, changing its power won’t cause either blocking creature to stop blocking it.
• If a creature you control with power 4 or greater has menace, it can’t be blocked by only one creature and it can’t be blocked by more than one creature, so it simply can’t be blocked.""","461084","""Each creature you control with power 4 or greater can't be blocked by more than one creature.""","6","5","0","USD","328d778a-ef16-437f-9a9d-204cf061919b","188305","3999094","","Svetlin Velinov","war"
"Chandra's Triumph","Chandra's Triumph","War of the spark 1/31/23","War of the Spark","WAR","121","$0.25","$0.25","","1x","","","","U","Instant","2","{1}{R}","Red","""• Whether you control an appropriate planeswalker is checked only as the spell resolves.
• Controlling more than one planeswalker of the appropriate type won’t have any more of a benefit than just controlling one.""","461048","""Chandra's Triumph deals 3 damage to target creature or planeswalker an opponent controls. Chandra's Triumph deals 5 damage instead if you control a Chandra planeswalker.""","0","0","0","USD","70f43c17-7022-4052-86b8-90b74382b7bf","188387","4002400","","Kieran Yanner","war"
"Cruel Celebrant","Cruel Celebrant","War of the spark 1/31/23","War of the Spark","WAR","188","$1.00","$1.00","","1x","","","","U","Creature — Vampire","2","{W}{B}","White/Black","""• If Cruel Celebrant dies at the same time as one or more other creatures and/or planeswalkers you control, its ability triggers for each of them.
• If a planeswalker that’s also a creature dies, Cruel Celebrant’s ability triggers only once.
• In a Two-Headed Giant game, Cruel Celebrant’s ability causes the opposing team to lose 2 life and you gain 1 life.""","461115","""Whenever Cruel Celebrant or another creature or planeswalker you control dies, each opponent loses 1 life and you gain 1 life.""","1","2","0","USD","87ead6ac-b1c5-4852-8413-7fa43c6cfc57","187204","3990117","","Bastien L. Deharme","war"
